MLRA,compname,count
96,Plainfield,1181101
96,Coloma,1073113
96,Spinks,953230
96,Grattan,687700
96,Benona,529206
96,Kaleva,485836
96,Emmet,398227
96,Leelanau,389899
96,East Lake,387072
96,Covert,342412
96,Kalkaska,334451
96,Pipestone,311278
96,Benzonia,292528
96,Entic Haplorthods,264808
96,Typic Udipsamments,235205
96,Adrian,223370
96,Metea,217717
96,Houghton,194441
96,Montcalm,193203
96,Rubicon,191306
96,Roscommon,187710
96,Fern,180793
96,Carlisle,171150
96,Tawas,167866
96,Glendora,164008
96,Marlette,163996
96,Mancelona,150578
96,Dair,129243
96,Kingsville,128194
96,Saugatuck,121630
96,Graycalm,121315
96,Remus,119884
96,Croswell,115066
96,Capac,111380
96,Brems,108210
96,Nessen,100183
96,Omena,96387
96,Epworth,95107
96,Shavenaugh,88556
96,Ithaca,78600
96,Kerston,74877
96,Jebavy,73957
96,Arkona,73848
96,Tekenink,73825
96,Perrinton,73105
96,Granby,72407
96,Onekama,71631
96,Wixom,70872
96,Markey,70412
96,Deer Park,70165
96,Lupton,69203
96,Alfic Haplorthods,65382
96,Au Gres,62475
96,Toogood,60802
96,Brethren,58607
96,Nester,55711
96,Nordhouse,53139
96,Filer,50654
96,Mecosta,44680
96,Richter,43724
96,Fogg,42153
96,Mollic Psammaquents,39132
96,Selfridge,38862
96,Gowdy,36245
96,Del Rey,35727
96,Eastport,34399
96,Ubly,34167
96,Lamellic Udipsamments,33641
96,Boyer,33256
96,Aquic Udipsamments,32114
96,Sparta,31290
96,Thetford,30541
96,Lamellic Haplorthods,29052
96,Finch,28871
96,Tonkey,28585
96,Tatches,24982
96,Algansee,24949
96,Cosad,24867
96,Gorvan,23604
96,Ensley,21570
96,Kawkawlin,21000
96,Alcona,20460
96,Sickles,19991
96,Chelsea,18809
96,Tustin,18716
96,Islandlake,18427
96,Typic Psammaquents,17252
96,Aeric Haplaquods,17174
96,Milnichol,16952
96,Iosco,15618
96,Scalley,15332
96,Oxyaquic Udipsamments,14169
96,Lamson,14036
96,Okee,13910
96,Edwards,13560
96,Onaway,13494
96,Rifle,13454
96,Allendale,13366
96,Belding,13312
96,Thompsonville,13044
96,Manistee,12390
96,Hettinger,12356
96,Martisco,12181
96,Alpena,12023
96,Freesoil,12012
96,Typic Haplorthods,11564
96,Cohoctah,11452
96,Typic Duraquods,11441
96,Loxley,11362
96,Watseka,11358
96,Napoleon,11334
96,Typic Haplaquolls,10132
96,Mollineaux,10029
96,Kiva,9837
96,Platteriver,9809
96,Bono,9787
96,Typic Haplaquods,9484
96,Alvin,9222
96,Parkhill,9047
96,Dixboro,8342
96,Arkport,8286
96,Winterfield,8233
96,Nappanee,8125
96,Sloan,7995
96,Kinross,7336
96,Abscota,7242
96,Ziegenfuss,7098
96,Healylake,7023
96,Wallace,6782
96,Rousseau,6686
96,Deford,6470
96,Detour,6433
96,Charlevoix,6406
96,Pickford,6356
96,Ogemaw,6170
96,Altmar,6048
96,Hoytville,5815
96,Argic Udipsamments,5791
96,Wauseon,5641
96,Copemish,5581
96,Claybanks,5175
96,Madaus,5103
96,Typic Endoaquods,5066
96,Selkirk,4757
96,Kibbie,4709
96,Munuscong,4687
96,Melita,4644
96,Haplic Glossudalfs,4496
96,Menominee,4473
96,Oxyaquic Haplorthods,4392
96,Alfic Oxyaquic Haplorthods,4067
96,Ceresco,4021
96,Lumley,4014
96,Makinen,4014
96,Muck,3897
96,Guelph,3851
96,Pinconning,3818
96,Willette,3694
96,Dawson,3684
96,Leafriver,3459
96,Poy,3071
96,Greenwood,2987
96,Southwells,2710
96,Alluvial land,2666
96,Sims,2621
96,Epoufette,2615
96,Gladwin,2570
96,Marl beds,2497
96,Palms,2446
96,Riverdale,2355
96,Sanilac,2308
96,Blue Lake,2092
96,Bach,1981
96,Goodharbor,1846
96,Springlake,1821
96,Typic Epiaquolls,1815
96,Ausable,1750
96,Bowstring,1750
96,Linwood,1678
96,Alfic Udipsamments,1635
96,Ingalls,1559
96,Saranac,1559
96,Morocco,1417
96,Tuscola,1366
96,Milarch,1315
96,Negwegon,1301
96,Edmore,1202
96,Karlin,1046
96,Vestaburg,967
96,Lindquist,931
96,Wakeley,895
