"Count"	"MUKEY"	"LRU"	"km2"
62008	301897	"146"	55.8072
6718	301830	"146"	6.0462
59391	301850	"146"	53.4519
9885	301831	"146"	8.8965
6399	301896	"146"	5.7591
11295	0	"146"	10.1655
2815	301807	"146"	2.5335
9620	301882	"146"	8.658
17469	301805	"146"	15.7221
92341	301880	"146"	83.1069
15599	301811	"146"	14.0391
4759	301855	"146"	4.2831
2122	301854	"146"	1.9098
5215	301876	"146"	4.6935
16790	301872	"146"	15.111
4466	301806	"146"	4.0194
6251	301837	"146"	5.6259
6896	301804	"146"	6.2064
43171	301856	"146"	38.8539
5538	301841	"146"	4.9842
1011	301842	"146"	0.9099
1221	301840	"146"	1.0989
124913	301886	"146"	112.4217
26757	301838	"146"	24.0813
1925	301839	"146"	1.7325
30556	301834	"146"	27.5004
172576	301852	"146"	155.3184
94207	301863	"146"	84.7863
2059	301877	"146"	1.8531
56317	301887	"146"	50.6853
18084	301864	"146"	16.2756
169735	301862	"146"	152.7615
55038	301884	"146"	49.5342
192771	301833	"146"	173.4939
184436	301885	"146"	165.9924
8010	301890	"146"	7.209
11522	301873	"146"	10.3698
6109	301889	"146"	5.4981
5568	301891	"146"	5.0112
1511	301888	"146"	1.3599
35544	301881	"146"	31.9896
5437	301865	"146"	4.8933
2872	301832	"146"	2.5848
81548	301851	"146"	73.3932
3416	301836	"146"	3.0744
6462	301883	"146"	5.8158
23610	301835	"146"	21.249
16146	301853	"146"	14.5314
1150	301875	"146"	1.035
2556	301861	"146"	2.3004
5694	301879	"146"	5.1246
142508	301863	"143"	128.2572
196107	301862	"143"	176.4963
236404	301851	"143"	212.7636
41402	301834	"143"	37.2618
371692	301852	"143"	334.5228
367221	301833	"143"	330.4989
832	301845	"143"	0.7488
7189	301880	"143"	6.4701
38012	301844	"146"	34.2108
1180	301844	"143"	1.062
42393	301845	"146"	38.1537
161109	301885	"143"	144.9981
1960	301873	"143"	1.764
219	301841	"143"	0.1971
6442	301838	"143"	5.7978
7365	301811	"143"	6.6285
767	301865	"143"	0.6903
1114	301832	"143"	1.0026
5234	301881	"143"	4.7106
291588	301853	"143"	262.4292
437	301882	"143"	0.3933
5	301854	"143"	0.0045
18596	301864	"143"	16.7364
11019	301887	"143"	9.9171
31434	301884	"143"	28.2906
99265	301886	"143"	89.3385
33964	301836	"143"	30.5676
1255	1596544	"146"	1.1295
16819	301871	"146"	15.1371
358	301855	"143"	0.3222
56700	301823	"146"	51.03
52164	301856	"143"	46.9476
56336	0	"143"	50.7024
170467	2549880	"143"	153.4203
63958	2549833	"143"	57.5622
62540	2549843	"143"	56.286
33053	301827	"146"	29.7477
174455	301826	"146"	157.0095
166051	301897	"143"	149.4459
16590	301847	"146"	14.931
442403	301813	"146"	398.1627
212288	301820	"146"	191.0592
104318	301814	"146"	93.8862
17442	301827	"143"	15.6978
22727	2549842	"143"	20.4543
36671	301850	"143"	33.0039
80469	2549861	"143"	72.4221
16087	301819	"146"	14.4783
4185	301820	"143"	3.7665
526312	2549862	"143"	473.6808
958	301814	"143"	0.8622
8303	301821	"146"	7.4727
2563	301813	"143"	2.3067
215574	301825	"146"	194.0166
1327158	2549859	"143"	1194.4422
41824	2549855	"143"	37.6416
350788	2549875	"143"	315.7092
23036	2549869	"143"	20.7324
393147	2549873	"143"	353.8323
9273	2549850	"143"	8.3457
53637	2549849	"143"	48.2733
111921	2549960	"143"	100.7289
499621	2549872	"143"	449.6589
276816	2549877	"143"	249.1344
14134	301823	"143"	12.7206
13043	301816	"146"	11.7387
602962	2549863	"143"	542.6658
414119	301835	"143"	372.7071
16587	301825	"143"	14.9283
12294	301889	"143"	11.0646
347435	2549860	"143"	312.6915
95999	2549845	"143"	86.3991
377540	2549876	"143"	339.786
144718	301871	"143"	130.2462
3	301804	"143"	0.0027
12213	301812	"146"	10.9917
34358	2549874	"143"	30.9222
481895	2549864	"143"	433.7055
154162	301870	"143"	138.7458
10879	301878	"146"	9.7911
264	301879	"143"	0.2376
153035	301826	"143"	137.7315
48735	2549856	"143"	43.8615
26563	301893	"143"	23.9067
23537	2549881	"143"	21.1833
198131	2549865	"143"	178.3179
26250	301843	"146"	23.625
10934	301870	"146"	9.8406
131276	2549879	"143"	118.1484
6409	301829	"146"	5.7681
1239	301893	"146"	1.1151
6139	301818	"146"	5.5251
9719	301868	"143"	8.7471
10859	301817	"146"	9.7731
891	301896	"143"	0.8019
230	301861	"143"	0.207
31222	301815	"146"	28.0998
10286	301824	"146"	9.2574
435	301816	"143"	0.3915
161	301815	"143"	0.1449
76391	2549866	"143"	68.7519
147	301817	"143"	0.1323
92	301883	"143"	0.0828
137	301831	"143"	0.1233
41231	2549867	"143"	37.1079
157	301843	"143"	0.1413
90402	2549854	"143"	81.3618
11661	301828	"146"	10.4949
911359	2549858	"143"	820.2231
54307	301894	"143"	48.8763
3706	301846	"146"	3.3354
7098	301872	"143"	6.3882
670	301868	"146"	0.603
11240	301866	"146"	10.116
10	301819	"143"	0.009
21	301821	"143"	0.0189
31787	2549868	"143"	28.6083
19374	2549840	"143"	17.4366
497	301839	"143"	0.4473
6175	301867	"146"	5.5575
7053	2549844	"143"	6.3477
132372	301867	"143"	119.1348
779	301837	"143"	0.7011
10396	301894	"146"	9.3564
38186	2549851	"143"	34.3674
1706	301858	"143"	1.5354
17223	301890	"143"	15.5007
89547	301866	"143"	80.5923
12449	2549878	"143"	11.2041
6819	2549870	"143"	6.1371
7310	2549960	"146"	6.579
19370	2549843	"146"	17.433
2184	2549833	"146"	1.9656
25903	301859	"146"	23.3127
2705	2549859	"146"	2.4345
924	2549863	"146"	0.8316
4711	301860	"146"	4.2399
2024	2549860	"146"	1.8216
42342	301858	"146"	38.1078
1633	2549879	"146"	1.4697
3742	2549844	"146"	3.3678
666	301829	"143"	0.5994
28222	2549857	"143"	25.3998
1322	2549877	"146"	1.1898
1877	2549865	"146"	1.6893
3062	2549837	"143"	2.7558
17877	2549838	"143"	16.0893
11767	301878	"143"	10.5903
138838	2549871	"143"	124.9542
583	301859	"143"	0.5247
25924	2549853	"143"	23.3316
524	301822	"146"	0.4716
75	301860	"143"	0.0675
394	301824	"143"	0.3546
393	2549864	"146"	0.3537
342	2549862	"146"	0.3078
15199	301891	"143"	13.6791
265	2549867	"146"	0.2385
2586	301848	"146"	2.3274
460	2549858	"146"	0.414
312	2549861	"146"	0.2808
4005	301849	"146"	3.6045
11589	2549959	"143"	10.4301
919	2549856	"146"	0.8271
5248	2549854	"146"	4.7232
2087	301892	"146"	1.8783
1084	301830	"143"	0.9756
36	301876	"143"	0.0324
1568	2549853	"146"	1.4112
1434	2549838	"146"	1.2906
167	2549881	"146"	0.1503
2383	2549842	"146"	2.1447
189	2549959	"146"	0.1701
390	301857	"146"	0.351
12620	2549835	"143"	11.358
85	1596544	"143"	0.0765
163	2549851	"146"	0.1467
491	2549869	"146"	0.4419
5395	2549852	"143"	4.8555
67	2549835	"146"	0.0603
362	2549845	"146"	0.3258
1547	301808	"146"	1.3923
118	2549855	"146"	0.1062
82	2549880	"146"	0.0738
1462	301809	"146"	1.3158
2296	2549857	"146"	2.0664
77	2549868	"146"	0.0693
37	301874	"146"	0.0333
181	301888	"143"	0.1629
777	301810	"146"	0.6993
3441	301892	"143"	3.0969
64	301818	"143"	0.0576
571	301869	"146"	0.5139
6047	2549836	"143"	5.4423
279	301847	"143"	0.2511
38	301869	"143"	0.0342
1146	301805	"143"	1.0314
188	301807	"143"	0.1692
5210	2549841	"143"	4.689
76	301848	"143"	0.0684
51	301849	"143"	0.0459
8507	614155	"146"	7.6563
48013	614154	"146"	43.2117
2402	614165	"146"	2.1618
43345	614183	"146"	39.0105
42804	614189	"146"	38.5236
56514	614164	"146"	50.8626
110708	614182	"146"	99.6372
154228	614188	"146"	138.8052
12005	614184	"146"	10.8045
12770	614163	"146"	11.493
15102	614159	"146"	13.5918
8751	614160	"146"	7.8759
2899	614156	"146"	2.6091
548	614157	"146"	0.4932
311	614169	"146"	0.2799
12149	614220	"146"	10.9341
4296	614187	"146"	3.8664
5673	614162	"146"	5.1057
4484	614161	"146"	4.0356
6252	614185	"146"	5.6268
1092	614221	"146"	0.9828
3018	614186	"146"	2.7162
1840	614153	"146"	1.656
1943	614179	"146"	1.7487
1072	614158	"146"	0.9648
26558	614191	"146"	23.9022
594204	614188	"143"	534.7836
3818	614154	"143"	3.4362
9599	614164	"143"	8.6391
20218	614160	"143"	18.1962
198973	614189	"143"	179.0757
181775	614191	"143"	163.5975
7640	614179	"143"	6.876
8541	614206	"143"	7.6869
1145	614206	"146"	1.0305
653	301806	"143"	0.5877
411	614163	"143"	0.3699
23368	614210	"146"	21.0312
32	614180	"146"	0.0288
112535	614220	"143"	101.2815
30773	614159	"143"	27.6957
247891	614210	"143"	223.1019
1912	614183	"143"	1.7208
4925	614182	"143"	4.4325
698	614205	"146"	0.6282
616	614178	"146"	0.5544
483	614155	"143"	0.4347
55	614156	"143"	0.0495
106	614153	"143"	0.0954
471	614180	"143"	0.4239
273103	614171	"143"	245.7927
147	614200	"146"	0.1323
2474	614196	"146"	2.2266
1870	614197	"146"	1.683
844	614202	"146"	0.7596
28417	614187	"143"	25.5753
294	614199	"146"	0.2646
366	614201	"146"	0.3294
18219	614171	"146"	16.3971
2156	614172	"146"	1.9404
130	614198	"146"	0.117
2750	614185	"143"	2.475
380606	614190	"143"	342.5454
7115	614161	"143"	6.4035
13497	614201	"143"	12.1473
923	614202	"143"	0.8307
13170	614213	"143"	11.853
2923	614215	"146"	2.6307
7170	614214	"146"	6.453
6730	614213	"146"	6.057
373	614216	"146"	0.3357
1162528	2549920	"143"	1046.2752
244156	2549957	"143"	219.7404
184428	2549927	"143"	165.9852
511	614165	"143"	0.4599
89061	2549949	"143"	80.1549
655861	2549950	"143"	590.2749
229746	2549926	"143"	206.7714
676062	2549951	"143"	608.4558
637971	2549948	"143"	574.1739
1327530	2549919	"143"	1194.777
846209	2549923	"143"	761.5881
845281	2549947	"143"	760.7529
116321	2549896	"143"	104.6889
263222	2549924	"143"	236.8998
118086	614197	"143"	106.2774
314232	614173	"143"	282.8088
126729	614196	"143"	114.0561
1080803	2549958	"143"	972.7227
668420	2549922	"143"	601.578
74544	614199	"143"	67.0896
37322	2549898	"143"	33.5898
110430	2549925	"143"	99.387
132285	614200	"143"	119.0565
20416	614215	"143"	18.3744
387550	2549955	"143"	348.795
56494	614174	"143"	50.8446
20793	614214	"143"	18.7137
157940	614204	"143"	142.146
1498	2549954	"143"	1.3482
22611	614172	"143"	20.3499
33240	2549905	"143"	29.916
280	614203	"146"	0.252
5736	614216	"143"	5.1624
285735	614203	"143"	257.1615
29828	2549895	"143"	26.8452
77677	614211	"143"	69.9093
185159	2549921	"143"	166.6431
633	614208	"146"	0.5697
731	301828	"143"	0.6579
184480	614209	"143"	166.032
432	614207	"146"	0.3888
8321	614190	"146"	7.4889
9635	614211	"146"	8.6715
24745	2549932	"143"	22.2705
21854	614209	"146"	19.6686
437	614204	"146"	0.3933
6324	614173	"146"	5.6916
94591	614218	"143"	85.1319
97879	614217	"143"	88.0911
6068	614217	"146"	5.4612
1381	614212	"146"	1.2429
4	301840	"143"	0.0036
918	614170	"146"	0.8262
109323	2549929	"143"	98.3907
22949	2549952	"143"	20.6541
150972	2549928	"143"	135.8748
23589	2549882	"143"	21.2301
150426	2549910	"143"	135.3834
109721	2549911	"143"	98.7489
13358	614198	"143"	12.0222
203854	2549914	"143"	183.4686
4914	614218	"146"	4.4226
136310	2549915	"143"	122.679
23698	2549940	"143"	21.3282
182879	2549916	"143"	164.5911
14640	2549897	"143"	13.176
188818	285239	"143"	169.9362
124503	285224	"143"	112.0527
223962	285236	"143"	201.5658
470046	285223	"143"	423.0414
18528	2549889	"143"	16.6752
218215	285209	"143"	196.3935
46480	285191	"143"	41.832
43545	285285	"143"	39.1905
32225	285192	"143"	29.0025
341754	285295	"143"	307.5786
970326	285235	"143"	873.2934
47166	285256	"143"	42.4494
63030	285255	"143"	56.727
6790	614212	"143"	6.111
23234	285233	"143"	20.9106
749024	285250	"143"	674.1216
32154	285263	"143"	28.9386
112833	285175	"143"	101.5497
31745	2549931	"143"	28.5705
123592	285251	"143"	111.2328
64689	285176	"143"	58.2201
155131	285290	"143"	139.6179
163804	285291	"143"	147.4236
11533	285221	"143"	10.3797
51374	285226	"143"	46.2366
57249	285288	"143"	51.5241
41282	285237	"143"	37.1538
12422	285243	"143"	11.1798
22479	2549892	"143"	20.2311
54805	285289	"143"	49.3245
4369	285165	"143"	3.9321
46618	285227	"143"	41.9562
85760	2549908	"143"	77.184
29528	285210	"143"	26.5752
48141	2549884	"143"	43.3269
14968	285294	"143"	13.4712
76734	2549907	"143"	69.0606
7651	285228	"143"	6.8859
78611	285292	"143"	70.7499
4980	285196	"143"	4.482
150216	285261	"143"	135.1944
38631	285260	"143"	34.7679
5786	285254	"143"	5.2074
