compname	taxsubgrp	Bhs
Abram	Lithic Haplorthods	yes
Adamant	Typic Haplorthods	No
Adams	Typic Haplorthods	yes
Adirondack	Typic Endoaquods	yes
Adirondack	Typic Epiaquods	yes
Adirondack	Typic Haplaquods	yes
Aeric Haplaquods	Aeric Haplaquods	No
Agawam	Typic Haplorthods	No
Alcona	Alfic Haplorthods	no
Alfic Haplorthods	Alfic Haplorthods	n
Alfic Oxyaquic Haplorthods	Alfic Oxyaquic Haplorthods	n
Allagash	Typic Haplorthods	yes
Allendale	Alfic Epiaquods	yes
Allendale	Alfic Haplaquods	yes
Amadon	Lithic Haplorthods	yes
Amasa	Typic Haplorthods	yes
Ampersand	Typic Epiaquods	yes
Andic Cryaquods	Andic Cryaquods	n
Annalake	Alfic Oxyaquic Haplorthods	no
Arenac	Typic Epiaquods	yes
Argic Endoaquods	Alfic Haplaquods	n
Argic Endoaquods	Argic Endoaquods	n
Arkona	Alfic Epiaquods	no
Arkona	Alfic Haplaquods	no
Atsion	Aeric Alaquods	yes
Atsion	Aeric Haplaquods	yes
Au Gres	Typic Endoaquods	yes
Avoca	Alfic Epiaquods	no
Bangor	Typic Haplorthods	No
Battlefield	Typic Endoaquods	No
Battydoe	Typic Haplorthods	yes
Becket	Oxyaquic Haplorthods	yes
Becket	Typic Haplorthods	yes
Belding	Alfic Epiaquods	no
Belgrade	Aquic Haplorthods	No
Benona	Entic Haplorthods	no
Benona	Lamellic Haplorthods	no
Benzonia	Lamellic Haplorthods	yes
Berkshire	Typic Haplorthods	yes
Berryland	Typic Alaquods	yes
Berryland	Typic Haplaquods	yes
Berryland Variant	Typic Haplaquods	yes
Biscuit	Alfic Epiaquods	no
Blue Lake	Alfic Haplorthods	no
Blue Lake	Lamellic Haplorthods	no
Bohemian	Alfic Haplorthods	No
Borgstrom	Typic Durorthods	yes
Brethren	Oxyaquic Haplorthods	yes
Brimley	Argic Endoaquods	no
Buckland	Entic Fragiorthods	no
Calais	Typic Fragiorthods	No
Canaan	Lithic Haplorthods	No
Caribou	Typic Haplorthods	No
Charlevoix	Argic Endoaquods	no
Charlton	Typic Haplorthods	No
