LRU,Site,Rows,SiteName,SiteID
139A,A1 Wet Acid Depression,168,Wet Acidic Depression,F139XY012OH
139A,A2 Acid Depression,370,Moist Acidic Slopes,F139XY004OH
139A,A3 Moist Acid Plains,436,Moist Acidic Slopes,F139XY004OH
139A,A4 Acid Plains,214,Dry Acidic Till Plains,F139XY005OH
139A,A5 Acid Slopes,123,Moist Acidic Slopes,F139XY004OH
139A,Bedrock,21,Shallow Acidic Slopes,F139XY007OH
139A,BH1 Wet Shale Depression,15,Wet Acidic Depression,F139XY012OH
139A,BH2 Moist Shale,13,Moist Acidic Slopes,F139XY004OH
139A,BH2 Shale Depression,26,Moist Acidic Slopes,F139XY004OH
139A,BH5 Shale Slopes,54,Moist Acidic Slopes,F139XY004OH
139A,BH6 Shallow Shale,10,Shallow Acidic Slopes,F139XY007OH
139A,BL1 Wet Limestone Depression,2,Wet Calcareous Depression,F139XY011OH
139A,BS1 Wet Sandstone Depression,1,Wet Acidic Depression,F139XY012OH
139A,BS2 Sandstone Depression,44,Moist Acidic Slopes,F139XY004OH
139A,BS3 Moist Sandstone,16,Moist Acidic Slopes,F139XY004OH
139A,BS4 Sandstone Residuum,5,Shallow Acidic Slopes,F139XY007OH
139A,BS5 Sandstone Slopes,108,Shallow Acidic Slopes,F139XY007OH
139A,BS6 Shallow Sandstone,77,Shallow Acidic Slopes,F139XY007OH
139A,C1 Wet Loamy Depression,463,Wet Calcareous Depression,F139XY011OH
139A,C2 Loamy Depression,477,Moist Calcareous Till Flats,F139XY002OH
139A,C3 Moist Loamy Plains,384,Moist Calcareous Till Flats,F139XY002OH
139A,C4 Loamy Plains,264,Dry Calcareous Till Plains,F139XY003OH
139A,C5 Loamy Slopes,166,Moist Calcareous Till Flats,F139XY002OH
139A,CP2 Moist Loamy Prairie,2,Moist Calcareous Till Flats,F139XY002OH
139A,F1 Floodplain,258,Moist Floodplain,F139XY008OH
139A,F2 Wet Floodplain,226,Wet Floodplain,F139XY009OH
139A,M2 Mucky Depression,31,Mucky Depression,F139XY013OH
139A,Shoreline Complex,3,Coastal Dune Complex,F139XY001OH
139A,Water,27,,
139B,A1 Wet Acid Depression,104,Wet Acidic Depression,F139XY012OH
139B,A2 Acid Depression,260,Moist Till Highlands,F139XY006OH
139B,A3 Moist Acid Plains,305,Moist Till Highlands,F139XY006OH
139B,A4 Acid Plains,184,Moist Till Highlands,F139XY006OH
139B,A5 Acid Slopes,60,Moist Till Highlands,F139XY006OH
139B,Bedrock,54,Shallow Acidic Slopes,F139XY007OH
139B,BH2 Shale Depression,6,Moist Till Highlands,F139XY006OH
139B,BH5 Shale Slopes,4,Shallow Acidic Slopes,F139XY007OH
139B,BS4 Sandstone Residuum,2,Shallow Acidic Slopes,F139XY007OH
139B,BS5 Sandstone Slopes,24,Shallow Acidic Slopes,F139XY007OH
139B,BS6 Shallow Sandstone,9,Shallow Acidic Slopes,F139XY007OH
139B,C1 Wet Loamy Depression,157,Wet Calcareous Depression,F139XY011OH
139B,C2 Loamy Depression,113,Moist Calcareous Till Flats,F139XY002OH
139B,C3 Moist Loamy Plains,26,Moist Calcareous Till Flats,F139XY002OH
139B,C4 Loamy Plains,10,Dry Calcareous Till Plains,F139XY003OH
139B,C5 Loamy Slopes,2,Moist Calcareous Till Flats,F139XY002OH
139B,F1 Floodplain,103,Moist Floodplain,F139XY008OH
139B,F2 Wet Floodplain,98,Wet Floodplain,F139XY009OH
139B,M2 Mucky Depression,20,Mucky Depression,F139XY013OH
139B,Water,12,,
94AA,BH2 Shale Depression,1,,
94AA,BL5 Limestone Slopes,1,,
94AA,C1 Wet Loamy Depression,191,Snowy Wet Loamy Depression ,F094AA004MI
94AA,C2 Loamy Depression,145,Snowy Loamy Depression ,F094AA003MI
94AA,C3 Moist Loamy Plains,87,Snowy Loamy Depression ,F094AA003MI
94AA,C4 Loamy Plains,292,Snowy Loamy Till ,F094AA002MI
94AA,C5 Loamy Slopes,173,Snowy Loamy Till ,F094AA002MI
94AA,CP3 Moist Loamy Prairie,2,Snowy Loamy Depression ,F094AA003MI
94AA,F1 Floodplain,20,Snowy Floodplain ,F094AA011MI
94AA,F2 Wet Floodplain,75,Snowy Wet Floodplain ,F094AA012MI
94AA,M1 Acidic Peaty Depression,24,Snowy Acidic Peaty Depression ,F094AA014MI
94AA,M2 Mucky Depression,170,Snowy Mucky Depression ,F094AA013MI
94AA,S1 Wet Sandy Depression,163,Snowy Wet Sandy Depression ,F094AA010MI
94AA,S2 Sandy Depression,72,Snowy Sandy Depression ,F094AA009MI
94AA,S3 Moist Sandy Plains,12,Snowy Sandy Depression ,F094AA009MI
94AA,S4 Sandy Plains,71,Snowy Sandy Drift ,F094AA006MI
94AA,S5 Sandy Slopes,50,Snowy Sandy Drift ,F094AA006MI
94AA,SA1 Wet Acidic Sandy Depression,24,Snowy Wet Acidic Sandy Depression ,F094AA008MI
94AA,SA2 Acidic Depression,284,Snowy Acidic Sandy Depression ,F094AA007MI
94AA,SA3 Moist Acidic Plains,221,Snowy Acidic Sandy Depression ,F094AA007MI
94AA,SR4 Rich Sandy Plains,181,Snowy Sandy Drift ,F094AA006MI
94AA,SR5 Rich Sandy Slopes,71,Snowy Sandy Drift ,F094AA006MI
94AA,SRS4 Rich Spodic Plains,177,Snowy Rich Sandy Drift ,F094AA005MI
94AA,SRS5 Rich Spodic Slopes,125,Snowy Rich Sandy Drift ,F094AA005MI
94AA,SS4 Spodic Plains,515,Snowy Sandy Drift ,F094AA006MI
94AA,SS5 Spodic Slopes,319,Snowy Sandy Drift ,F094AA006MI
94AA,Water,7,,
94AB,BL2 Limestone Depression,2,Loamy Depression ,F094AB016MI
94AB,BL5 Limestone Slopes,2,Shallow Limestone Drift ,F094CY038MI
94AB,BL6 Shallow Limestone,12,Shallow Limestone Drift ,F094CY038MI
94AB,C1 Wet Loamy Depression,418,Wet Loamy Depression ,F094AB017MI
94AB,C2 Loamy Depression,283,Loamy Depression ,F094AB016MI
94AB,C3 Moist Loamy Plains,178,Loamy Depression ,F094AB016MI
94AB,C4 Loamy Plains,170,Loamy Till ,F094AB015MI
94AB,C5 Loamy Slopes,130,Loamy Till ,F094AB015MI
94AB,CP2 Moist Loamy Prairie,9,Loamy Depression ,F094AB016MI
94AB,F1 Floodplain,39,Floodplain ,F094AB024MI
94AB,F2 Wet Floodplain,101,Wet Floodplain ,F094AB025MI
94AB,M1 Acidic Peaty Depression,110,Acidic Peaty Depression ,F094AB027MI
94AB,M2 Mucky Depression,287,Mucky Depression ,F094AB026MI
94AB,S1 Wet Sandy Depression,414,Wet Sandy Depression ,F094AB023MI
94AB,S2 Sandy Depression,14,Sandy Depression ,F094AB022MI
94AB,S3 Moist Sandy Plains,24,Sandy Depression ,F094AB022MI
94AB,S4 Sandy Plains,391,Sandy Drift ,F094AB019MI
94AB,S5 Sandy Slopes,170,Sandy Drift ,F094AB019MI
94AB,SA1 Wet Acidic Sandy Depression,64,Wet Acidic Sandy Depression ,F094AB021MI
94AB,SA2 Acidic Depression,644,Acidic Sandy Depression ,F094AB020MI
