OID_,Value,Count,MLRARSYM
1,1,27730446.000000000000000,102A
2,2,5072357.000000000000000,102B
3,3,16098163.000000000000000,102C
4,4,12967664.000000000000000,102D
5,5,79843360.000000000000000,103
6,6,33580064.000000000000000,104
7,7,57631583.000000000000000,105
8,8,30908045.000000000000000,106
9,9,59843399.000000000000000,107
10,10,94979267.000000000000000,108
11,11,46165759.000000000000000,109
12,12,40440028.000000000000000,112
13,13,36110471.000000000000000,113
14,14,72938573.000000000000000,115
15,15,7617352.000000000000000,116B
16,16,4577737.000000000000000,116C
17,17,26021787.000000000000000,120A
18,18,6926946.000000000000000,120B
19,19,2919311.000000000000000,120C
20,20,30420612.000000000000000,121
21,21,36228038.000000000000000,124
22,22,44723459.000000000000000,125
23,23,50311664.000000000000000,126
24,24,54938347.000000000000000,127
25,25,18007778.000000000000000,128
26,26,5980803.000000000000000,130A
27,27,9281975.000000000000000,130B
28,28,54276995.000000000000000,136
29,29,65389012.000000000000000,140
30,30,3393420.000000000000000,141
31,31,99419907.000000000000000,143
32,32,55456690.000000000000000,144A
33,33,65555021.000000000000000,144B
34,34,5549600.000000000000000,145
35,35,59004985.000000000000000,147
36,36,34580126.000000000000000,148
37,37,7608090.000000000000000,149B
38,38,9942562.000000000000000,153A
39,39,14909500.000000000000000,153B
40,40,80688.000000000000000,55B
41,41,54126.000000000000000,55C
42,42,21888145.000000000000000,56A
43,43,13379878.000000000000000,56B
44,44,31125260.000000000000000,57
45,45,970766.000000000000000,74
46,46,1089839.000000000000000,75
47,47,24821772.000000000000000,76
48,48,33359318.000000000000000,88
49,49,10402981.000000000000000,89
50,50,63403454.000000000000000,90A
51,51,14566870.000000000000000,90B
52,52,13051885.000000000000000,91
53,53,3328003.000000000000000,92
54,54,25347727.000000000000000,94A
55,55,10194598.000000000000000,94C
56,56,6054994.000000000000000,94D
57,57,11537519.000000000000000,96
58,58,10007099.000000000000000,97
59,59,47909237.000000000000000,98
60,60,15955426.000000000000000,153D
61,61,16004972.000000000000000,149A
62,62,27698879.000000000000000,94B
63,63,49675132.000000000000000,95A
64,64,709623.000000000000000,93B
65,65,5166336.000000000000000,146
66,66,34026310.000000000000000,139
67,67,48796552.000000000000000,93A
68,68,23575115.000000000000000,110
69,69,20118258.000000000000000,142
70,70,6019344.000000000000000,153C
71,71,37768740.000000000000000,99
72,72,21419552.000000000000000,133A
73,73,28673637.000000000000000,101
74,74,47241908.000000000000000,116A
75,75,25409270.000000000000000,122
76,76,2963717.000000000000000,134
77,77,1629364.000000000000000,84A
78,78,1892548.000000000000000,131A
79,79,19260631.000000000000000,114B
80,80,9958186.000000000000000,114A
81,81,15393437.000000000000000,111D
82,82,8968822.000000000000000,111E
83,83,31904980.000000000000000,111B
84,84,31583962.000000000000000,111A
85,85,10156367.000000000000000,111C
