MLRA	LRU	SUBLRU	AREASYMBOL	LKEY	km2
101	101	101	NY029	12400	73.48
101	101	101X	NY001	12384	589.28
101	101	101X	NY009	12389	38.32
101	101	101X	NY011	12390	1661.78
101	101	101X	NY013	12391	341.17
101	101	101X	NY023	18917	105.78
101	101	101X	NY029	12400	1568.67
101	101	101X	NY035	12403	98.89
101	101	101X	NY037	12405	1042.76
101	101	101X	NY045	12408	27.43
101	101	101X	NY051	12412	872.19
101	101	101X	NY053	12413	987.98
101	101	101X	NY055	12414	1724.07
101	101	101X	NY057	12469	968.86
101	101	101X	NY065	12418	2230.14
101	101	101X	NY067	12419	2071.29
101	101	101X	NY069	18811	1083.72
101	101	101X	NY073	12421	1017.21
101	101	101X	NY075	12422	1667.44
101	101	101X	NY077	12423	522.88
101	101	101X	NY091	12429	1.39
101	101	101X	NY093	12473	434.89
101	101	101X	NY095	12430	676.40
101	101	101X	NY097	12431	77.45
101	101	101X	NY099	12432	967.79
101	101	101X	NY109	12437	260.97
101	101	101X	NY117	12441	1570.27
101	101	101X	NY121	12442	113.18
101	101	101X	NY123	18030	406.56
101	101	101X	NY605	12443	84.96
101	101	101X	NY614	12600	6.11
101	101	101X	NY615	12446	962.66
101	101	101X	NY663	12608	23.79
101	101	101X	NY664	12417	1336.78
101	101	101X	PA049	12373	85.38
108A	108A	108A	IL043	11661	91.72
108A	108A	108A	IL053	11329	131.01
108A	108A	108A	IL063	17200	54.38
108A	108A	108A	IL089	11351	282.33
108A	108A	108A	IL093	15809	804.22
108A	108A	108A	IL105	11362	164.73
108A	108A	108A	IL183	17508	1149.34
108A	108A	108A	IL197	11418	227.55
108A	108A	108A	IN171	11505	92.48
110	110XY	110X	IL031	17466	1383.27
110	110XY	110X	IL043	11661	779.66
110	110XY	110X	IL053	11329	1128.42
110	110XY	110X	IL063	17200	1060.62
110	110XY	110X	IL075	11341	2840.12
110	110XY	110X	IL089	11351	218.94
110	110XY	110X	IL091	11353	1357.43
110	110XY	110X	IL093	15809	30.42
110	110XY	110X	IL097	11357	1040.56
110	110XY	110X	IL105	11362	2544.11
110	110XY	110X	IL183	17508	1184.61
110	110XY	110X	IL197	11418	1971.80
110	110XY	110X	IN007	11433	1052.99
110	110XY	110X	IN015	11436	178.36
110	110XY	110X	IN017	11437	5.47
110	110XY	110X	IN073	11462	582.44
110	110XY	110X	IN089	11828	637.65
110	110XY	110X	IN111	11476	558.94
110	110XY	110X	IN127	11482	387.12
110	110XY	110X	IN131	11485	125.86
110	110XY	110X	IN157	11498	278.95
110	110XY	110X	IN171	11505	634.55
110	110XY	110X	IN181	11509	917.23
111A	111A	111A	IN015	11436	3.13
111A	111A	111A	IN067	11458	340.26
111A	111A	111A	OH149	11572	246.61
111B	111BA	111BA	IN003	11432	708.77
111B	111BA	111BA	IN017	11437	45.89
111B	111BA	111BA	IN033	11442	855.92
111B	111BA	111BA	IN049	11450	27.28
111B	111BA	111BA	IN069	11459	280.85
111B	111BA	111BA	IN085	11466	81.56
111B	111BA	111BA	IN103	11473	386.67
111B	111BA	111BA	IN113	11829	141.91
111B	111BA	111BA	IN151	11496	166.89
111B	111BA	111BA	IN169	11504	616.30
111B	111BA	111BA	IN183	11510	706.35
111B	111BA	111BA	MI059	11617	738.28
111B	111BA	111BA	MI087	11627	64.04
111B	111BA	111BA	MI091	11629	1120.78
111B	111BA	111BA	MI093	11630	24.62
111B	111BA	111BA	MI099	11631	117.16
111B	111BA	111BA	MI125	11641	637.84
111B	111BA	111BA	MI161	11657	1251.76
111B	111BA	111BA	MI163	76376	67.12
111B	111BA	111BA	OH039	11533	137.83
111B	111BA	111BA	OH051	11541	124.93
111B	111BA	111BA	OH171	11576	862.02
111B	111BB	111BB	IN001	11431	880.47
111B	111BB	111BB	IN003	11432	587.18
111B	111BB	111BB	IN017	11437	8.51
111B	111BB	111BB	IN067	11458	172.22
111B	111BB	111BB	IN069	11459	723.27
111B	111BB	111BB	IN075	11514	995.04
111B	111BB	111BB	IN103	11473	344.98
111B	111BB	111BB	IN169	11504	261.03
111B	111BB	111BB	IN179	11508	959.02
111B	111BB	111BB	IN183	11510	1.09
111B	111BB	111BB	OH003	11521	959.09
111B	111BB	111BB	OH011	11522	1041.19
111B	111BB	111BB	OH033	11531	52.20
111B	111BB	111BB	OH041	11535	628.84
111B	111BB	111BB	OH043	11536	56.92
111B	111BB	111BB	OH063	15914	965.81
111B	111BB	111BB	OH065	11546	1218.87
111B	111BB	111BB	OH077	11549	116.25
111B	111BB	111BB	OH101	11555	920.08
111B	111BB	111BB	OH107	11556	1226.11
111B	111BB	111BB	OH117	11559	172.60
111B	111BB	111BB	OH137	11566	25.43
111B	111BB	111BB	OH143	11570	23.05
111B	111BB	111BB	OH147	11571	978.07
111B	111BB	111BB	OH149	11572	817.09
111B	111BB	111BB	OH161	11574	638.71
111B	111BB	111BB	OH175	11579	933.00
111C	111CY	111C	IN017	11437	529.24
111C	111CY	111C	IN033	11442	86.60
111C	111CY	111C	IN039	11446	663.27
111C	111CY	111C	IN049	11450	652.81
111C	111CY	111C	IN085	11466	1088.65
111C	111CY	111C	IN087	11830	435.45
111C	111CY	111C	IN099	11472	901.84
111C	111CY	111C	IN103	11473	78.21
111C	111CY	111C	IN113	11829	891.49
111C	111CY	111C	IN131	11485	300.98
111C	111CY	111C	IN141	11490	437.64
111C	111CY	111C	IN151	11496	571.48
111C	111CY	111C	IN169	11504	0.28
111C	111CY	111C	IN181	11509	7.52
111C	111CY	111C	IN183	11510	167.94
111C	111CY	111C	MI023	11603	9.15
111C	111CY	111C	MI059	11617	96.44
111D	111D	111D	IN015	11436	789.92
111D	111D	111D	IN017	11437	425.53
111D	111D	111D	IN067	11458	248.56
111D	111D	111D	IN103	11473	167.61
111D	111D	111D	IN157	11498	1024.32
111D	111D	111D	IN169	11504	212.57
111D	111D	111D	IN171	11505	221.93
111E	111E	111E	OH005	12355	360.59
111E	111E	111E	OH033	11531	990.85
111E	111E	111E	OH041	11535	556.02
111E	111E	111E	OH043	11536	63.27
111E	111E	111E	OH077	11549	1069.30
111E	111E	111E	OH083	15447	154.34
111E	111E	111E	OH089	11551	702.65
111E	111E	111E	OH093	12364	41.56
111E	111E	111E	OH101	11555	126.64
111E	111E	111E	OH103	12366	82.24
111E	111E	111E	OH117	11559	734.73
111E	111E	111E	OH139	11567	547.28
111E	111E	111E	OH147	11571	8.84472345003985e-03
111E	111E	111E	OH169	12371	111.32
111E	111E	111E	OH175	11579	122.46
114A	114A	114A	OH005	12355	1.05
114A	114A	114A	OH031	14605	27.14
114A	114A	114A	OH083	15447	819.35
114A	114A	114A	OH089	11551	742.14
114A	114A	114A	OH117	11559	30.57
114A	114A	114A	OH119	14617	35.79
114A	114A	114A	OH139	11567	30.97
124	124	124	OH005	12355	82.08
124	124	124	OH019	14604	1033.39
124	124	124	OH029	12359	504.41
124	124	124	OH031	14605	1442.30
124	124	124	OH059	14607	691.43
124	124	124	OH067	14608	566.09
124	124	124	OH075	12362	638.05
124	124	124	OH081	14611	233.01
124	124	124	OH083	15447	338.98
124	124	124	OH089	11551	335.65
124	124	124	OH119	14617	1439.58
124	124	124	OH139	11567	72.60
124	124	124	OH151	12368	412.61
124	124	124	OH157	14622	1478.34
124	124	124	PA005	18250	1575.48
124	124	124	PA007	64576	301.43
124	124	124	PA019	14633	1479.63
124	124	124	PA031	14987	850.62
124	124	124	PA065	15871	576.51
124	124	124	PA073	64577	83.21
124	124	124	PA121	14662	345.02
124	124	124	WV604	14592	0.04
126	126	126	OH029	12359	0.04
126	126	126	OH059	14607	676.98
126	126	126	OH067	14608	497.59
126	126	126	OH081	14611	829.30
126	126	126	OH119	14617	266.48
126	126	126	PA003	14628	1926.96
126	126	126	PA005	18250	144.96
126	126	126	PA007	64576	761.77
126	126	126	PA019	14633	323.61
126	126	126	PA073	64577	14.43
126	126	126	PA611	14670	3728.07
126	126	126	WV604	14592	750.36
127	127	127	NY003	12386	31.15
127	127	127	NY009	12389	628.47
127	127	127	NY013	12391	3.30
127	127	127	NY605	12443	67.65
127	127	127	PA031	14987	726.93
127	127	127	PA035	14676	1684.11
127	127	127	PA065	15871	1125.01
127	127	127	PA081	14679	1144.87
127	127	127	PA083	14653	2545.34
127	127	127	PA105	15375	1958.93
127	127	127	PA117	12383	124.98
127	127	127	PA121	14662	617.22
127	127	127	PA607	14668	3186.99
