OID_,Value,Count,LRU
1,1,27730446.000000000000000,102A
2,2,5072357.000000000000000,102B
3,3,16098163.000000000000000,102C
4,4,12967664.000000000000000,102D
5,5,79843360.000000000000000,103
6,6,33580064.000000000000000,104
7,7,57631583.000000000000000,105
8,8,30908045.000000000000000,106
9,9,59843399.000000000000000,107
10,10,94979267.000000000000000,108
11,11,46165759.000000000000000,109
12,12,40440028.000000000000000,112
13,13,36110471.000000000000000,113
14,14,29218813.000000000000000,114
15,15,72938573.000000000000000,115
16,16,7617352.000000000000000,116B
17,17,4577737.000000000000000,116C
18,18,26021787.000000000000000,120A
19,19,6926946.000000000000000,120B
20,20,2919311.000000000000000,120C
21,21,30420612.000000000000000,121
22,22,36228038.000000000000000,124
23,23,44723459.000000000000000,125
24,24,50311664.000000000000000,126
25,25,54938347.000000000000000,127
26,26,18007778.000000000000000,128
27,27,5980803.000000000000000,130A
28,28,9281975.000000000000000,130B
29,29,54276995.000000000000000,136
30,30,65389012.000000000000000,140
31,31,3393420.000000000000000,141
32,32,99419907.000000000000000,143
33,33,55456690.000000000000000,144A
34,34,65555021.000000000000000,144B
35,35,5549600.000000000000000,145
36,36,59004985.000000000000000,147
37,37,34580126.000000000000000,148
38,38,7608090.000000000000000,149B
39,39,9942562.000000000000000,153A
40,40,14909500.000000000000000,153B
41,41,80688.000000000000000,55B
42,42,54126.000000000000000,55C
43,43,21888145.000000000000000,56A
44,44,13379878.000000000000000,56B
45,45,31125260.000000000000000,57
46,46,970766.000000000000000,74
47,47,1089839.000000000000000,75
48,48,24821772.000000000000000,76
49,49,33359318.000000000000000,88
50,50,10402981.000000000000000,89
51,51,63403454.000000000000000,90A
52,52,14566870.000000000000000,90B
53,53,13051885.000000000000000,91
54,54,3328003.000000000000000,92
55,55,17415837.000000000000000,94AB
56,56,7107562.000000000000000,94C
57,57,6054994.000000000000000,94D
58,58,7575642.000000000000000,96B
59,59,8931410.000000000000000,97A
60,60,36997771.000000000000000,98A1
61,61,15955426.000000000000000,153D
62,62,16004972.000000000000000,149A
63,63,3961877.000000000000000,96A
64,64,27698879.000000000000000,94B
65,65,49675132.000000000000000,95A
66,66,709623.000000000000000,93B
67,67,5166336.000000000000000,146
68,68,23196143.000000000000000,139A
69,69,48796552.000000000000000,93A
70,70,22387069.000000000000000,110
71,71,20118258.000000000000000,142
72,72,6019344.000000000000000,153C
73,73,21978766.000000000000000,99A
74,74,21419552.000000000000000,133A
75,75,28673637.000000000000000,101
76,76,47241908.000000000000000,116A
77,77,25409270.000000000000000,122
78,78,2963717.000000000000000,134
79,79,60797146.000000000000000,111
80,80,1629364.000000000000000,84A
81,81,1892548.000000000000000,131A
82,82,1075689.000000000000000,97B
83,83,1703.000000000000000,98
84,84,6810376.000000000000000,98B
85,85,15789974.000000000000000,99B
86,86,11.000000000000000,94A
87,87,11018915.000000000000000,94AA
88,88,10830167.000000000000000,139B
89,89,4099387.000000000000000,98A2
90,90,7419931.000000000000000,111C
91,91,30978541.000000000000000,111B
