"dmuiid"	"region"
148050	"r12"
148051	"r12"
148055	"r12"
148057	"r12"
148058	"r12"
148059	"r12"
148060	"r12"
148061	"r12"
148062	"r12"
148063	"r12"
148064	"r12"
148065	"r12"
148066	"r12"
148067	"r12"
148068	"r12"
148069	"r12"
148074	"r12"
148075	"r12"
148076	"r12"
148077	"r12"
148078	"r12"
148079	"r12"
148080	"r12"
148081	"r12"
148082	"r12"
148083	"r12"
148084	"r12"
148085	"r12"
148086	"r12"
148087	"r12"
148088	"r12"
148089	"r12"
148090	"r12"
148091	"r12"
148092	"r12"
148093	"r12"
148094	"r12"
148095	"r12"
148096	"r12"
148097	"r12"
148098	"r12"
148099	"r12"
148100	"r12"
148101	"r12"
148102	"r12"
148103	"r12"
148104	"r12"
148105	"r12"
148106	"r12"
148107	"r12"
148108	"r12"
148109	"r12"
148110	"r12"
148111	"r12"
148113	"r12"
148114	"r12"
148115	"r12"
148116	"r12"
148117	"r12"
148118	"r12"
148119	"r12"
148120	"r12"
148121	"r12"
148122	"r12"
148123	"r12"
154253	"r12"
148124	"r12"
148125	"r12"
148126	"r12"
148127	"r12"
148128	"r12"
148129	"r12"
148130	"r12"
148131	"r12"
148132	"r12"
148133	"r12"
148134	"r12"
148135	"r12"
148136	"r12"
148137	"r12"
148138	"r12"
148139	"r12"
148140	"r12"
148141	"r12"
148142	"r12"
148143	"r12"
148144	"r12"
148145	"r12"
148146	"r12"
148147	"r12"
148148	"r12"
148149	"r12"
148150	"r12"
148151	"r12"
148152	"r12"
148153	"r12"
148154	"r12"
148155	"r12"
148156	"r12"
148157	"r12"
148158	"r12"
148159	"r12"
148160	"r12"
148161	"r12"
148162	"r12"
148163	"r12"
148164	"r12"
148165	"r12"
148166	"r12"
148167	"r12"
148168	"r12"
148170	"r12"
148171	"r12"
148172	"r12"
148173	"r12"
148174	"r12"
148175	"r12"
148176	"r12"
148177	"r12"
148178	"r12"
148179	"r12"
148180	"r12"
148181	"r12"
148182	"r12"
148183	"r12"
148184	"r12"
148185	"r12"
148186	"r12"
148187	"r12"
148188	"r12"
148189	"r12"
148190	"r12"
148191	"r12"
148192	"r12"
148193	"r12"
148194	"r12"
148195	"r12"
148196	"r12"
148197	"r12"
148198	"r12"
148199	"r12"
148200	"r12"
148201	"r12"
148202	"r12"
148070	"r12"
148071	"r12"
148072	"r12"
148073	"r12"
154310	"r12"
129477	"r12"
129478	"r12"
129479	"r12"
123605	"r12"
123606	"r12"
123607	"r12"
123614	"r12"
123619	"r12"
129484	"r12"
129485	"r12"
123626	"r12"
123635	"r12"
123641	"r12"
123643	"r12"
123657	"r12"
123673	"r12"
123674	"r12"
129519	"r12"
123675	"r12"
123691	"r12"
123692	"r12"
123693	"r12"
123694	"r12"
129534	"r12"
123695	"r12"
129541	"r12"
145271	"r12"
145272	"r12"
145276	"r12"
145277	"r12"
145280	"r12"
145281	"r12"
145282	"r12"
145283	"r12"
145284	"r12"
145285	"r12"
145286	"r12"
145287	"r12"
145288	"r12"
145292	"r12"
145295	"r12"
145296	"r12"
145297	"r12"
145298	"r12"
145300	"r12"
145301	"r12"
145302	"r12"
145303	"r12"
145304	"r12"
145305	"r12"
145306	"r12"
145307	"r12"
145308	"r12"
145309	"r12"
145310	"r12"
145311	"r12"
145312	"r12"
145314	"r12"
145315	"r12"
145316	"r12"
145317	"r12"
145318	"r12"
145319	"r12"
145320	"r12"
145321	"r12"
145322	"r12"
145323	"r12"
145324	"r12"
145325	"r12"
145326	"r12"
145327	"r12"
145328	"r12"
145329	"r12"
145330	"r12"
145331	"r12"
145332	"r12"
145333	"r12"
145334	"r12"
145335	"r12"
145336	"r12"
145337	"r12"
145338	"r12"
145339	"r12"
145340	"r12"
166325	"r12"
166326	"r12"
166327	"r12"
166328	"r12"
166329	"r12"
166330	"r12"
166331	"r12"
166332	"r12"
166344	"r12"
166345	"r12"
166346	"r12"
166355	"r12"
166356	"r12"
166357	"r12"
166358	"r12"
166364	"r12"
166365	"r12"
166366	"r12"
166382	"r12"
145342	"r12"
166391	"r12"
166392	"r12"
166393	"r12"
166394	"r12"
150341	"r12"
148912	"r12"
150631	"r12"
148917	"r12"
148918	"r12"
148919	"r12"
148920	"r12"
150342	"r12"
148921	"r12"
148922	"r12"
148923	"r12"
148924	"r12"
150724	"r12"
150343	"r12"
148927	"r12"
148928	"r12"
148929	"r12"
148930	"r12"
150632	"r12"
150232	"r12"
148931	"r12"
148932	"r12"
148933	"r12"
150362	"r12"
148934	"r12"
150233	"r12"
148935	"r12"
148936	"r12"
148937	"r12"
150364	"r12"
148938	"r12"
150234	"r12"
150350	"r12"
150646	"r12"
150345	"r12"
148939	"r12"
148940	"r12"
148941	"r12"
148942	"r12"
150363	"r12"
150628	"r12"
150235	"r12"
148944	"r12"
148945	"r12"
150369	"r12"
148947	"r12"
148948	"r12"
150633	"r12"
150365	"r12"
150366	"r12"
150347	"r12"
148949	"r12"
150348	"r12"
150239	"r12"
148950	"r12"
148951	"r12"
148952	"r12"
148953	"r12"
150346	"r12"
150373	"r12"
148954	"r12"
148955	"r12"
150367	"r12"
150236	"r12"
150634	"r12"
150370	"r12"
150273	"r12"
148956	"r12"
148957	"r12"
148958	"r12"
148959	"r12"
148960	"r12"
150629	"r12"
