MLRARSYM,grpname,count,officematch
96,"12-GRR Grand Rapids, Michigan",10926447,1
96,"12-FLI Flint, Michigan",538266,1
96,12-FLI Projects,52083,1
97,"12-GRR Grand Rapids, Michigan",9396353,1
97,"11-AUR Aurora, Illinois",494995,0
97,12-GRR MLRA MU/DMU,53655,1
97,"12-FIN Findlay, Ohio",27662,0
97,"12-IND Indianapolis, Indiana",21831,0
97,"11-FIN Findlay, Ohio",394,0
97,Illinois,95,0
98,"12-GRR Grand Rapids, Michigan",41488788,1
98,"12-FIN Findlay, Ohio",2277203,0
98,"11-AUR Aurora, Illinois",1828799,0
98,"12-FLI Flint, Michigan",1791558,1
98,12-GRR MLRA MU/DMU,262406,1
98,"12-IND Indianapolis, Indiana",130053,0
98,12-GRR Projects,65880,1
98,"11-FIN Findlay, Ohio",33743,0
98,"11-SPR Springfield, Illinois",22480,0
98,"11-JUE Juneau, Wisconsin",7989,0
98,Illinois,338,0
99,"12-FLI Flint, Michigan",35016580,1
99,"12-GRR Grand Rapids, Michigan",1507478,1
99,"12-FIN Findlay, Ohio",834571,0
99,"12-BEL Belmont, New York",137241,0
99,"12-IND Indianapolis, Indiana",7983,0
99,"11-FIN Findlay, Ohio",2382,0
99,"6-MAT Marietta, Ohio",1305,0
101,"12-PAS Paul Smiths, New York",25483115,
101,"12-BEL Belmont, New York",2315059,
101,12-BEL Projects,614216,
101,Standard Map Units,83614,
101,Standard Calculations,26609,
101,"12-TOL Tolland, Connecticut",6311,
101,State Office NY - Region 6,3010,
101,State Office PA - Region 6,798,
101,12-TOL Points,66,
108,"11-AUR Aurora, Illinois",11146197,
108,"11-SPR Springfield, Illinois",5302000,
108,"11-MAN Marion, Illinois",1427987,
108,"11-JUE Juneau, Wisconsin",648458,
108,"12-IND Indianapolis, Indiana",268298,
108,Illinois,1543,
110,"11-AUR Aurora, Illinois",19739375,1
110,"12-IND Indianapolis, Indiana",559865,0
110,"12-GRR Grand Rapids, Michigan",267169,0
110,"12-FIN Findlay, Ohio",118921,0
110,"11-SPR Springfield, Illinois",112138,0
110,"11-JUE Juneau, Wisconsin",67566,0
110,12-GRR MLRA MU/DMU,19896,0
110,Illinois,2902,0
110,"11-FIN Findlay, Ohio",515,0
110,"11-MAN Marion, Illinois",306,0
113,"11-MAN Marion, Illinois",11669350,
113,"11-AUR Aurora, Illinois",128649,
113,State Office IL - Region 6,101378,
113,"11-SPR Springfield, Illinois",81035,
113,"11-UNI Union, Missouri",17501,
113,7-MIL MLRA MU/DMU,6704,
113,"6-OWN Owensboro, Kentucky",2455,
113,Illinois,1878,
113,6-OWN Correlated MLRA Data,1249,
113,"11-JUE Juneau, Wisconsin",1059,
115,"11-MAN Marion, Illinois",13675595,
115,"11-SPR Springfield, Illinois",1654433,
115,"11-UNI Union, Missouri",1548665,
115,"12-IND Indianapolis, Indiana",866136,
115,7-MIL MLRA MU/DMU,579746,
115,"11-AUR Aurora, Illinois",375835,
115,State Office IN - Region 6,310839,
115,6-OWN Correlated MLRA Data,197437,
115,State Office IL - Region 6,125566,
115,"6-OWN Owensboro, Kentucky",115752,
115,Illinois,3857,
115,"11-JUE Juneau, Wisconsin",3474,
115,State Office KY - Region 6,2148,
121,6-OWN Correlated MLRA Data,14795210,
121,State Office KY - Region 6,11263210,
121,State Office OH - Region 6,1436988,
121,"12-IND Indianapolis, Indiana",1258633,
121,"6-OWN Owensboro, Kentucky",891202,
121,State Office IN - Region 6,610423,
121,6-MAT Correlated MLRA Data,108370,
121,Standard Map Units,18284,
121,"6-OWN Owensboro, KY POINT",17622,
121,"6-MAT Marietta, Ohio",10972,
121,6-LON Correlated MLRA Data,9698,
122,State Office KY - Region 6,19297695,
122,6-COO Correlated MLRA Data,16305317,
122,State Office TN - Region 6,13159323,
122,6-OWN Correlated MLRA Data,2797639,
122,State Office IN - Region 6,2332785,
122,"6-COO Cookeville, Tennessee",1197286,
122,6-NOR Correlated MLRA Data,1191353,
122,"6-OWN Owensboro, KY POINT",504877,
122,"6-OWN Owensboro, Kentucky",458559,
122,7-TUP MLRA MU/DMU,361796,
122,"6-NOR Normal, Alabama",83571,
122,"12-IND Indianapolis, Indiana",40041,
122,6-LON Correlated MLRA Data,24870,
122,Standard Map Units,22568,
