"NE_Soil"	"MLRARSYM"	"percentbymukey"	"percentbymlra"	"km2"
134720	"149A"	100.00	4.15508897292018e-05	2.7e-03
134724	"149A"	100.00	4.57059787021219e-04	0.02
134726	"149A"	100.00	5.54011863056024e-05	3.6e-03
134727	"149A"	100.00	3.18556821257214e-04	0.02
134728	"149A"	100.00	9.69520760348041e-05	6.3e-03
134729	"149A"	100.00	2.90856228104412e-04	0.01
134730	"149A"	100.00	0.01	0.88
134731	"149A"	100.00	3.04706524680813e-04	0.01
134732	"149A"	100.00	3.22711910230134e-03	0.20
134733	"149A"	100.00	1.13572431926485e-03	0.07
134734	"149A"	100.00	1.81438885150848e-03	0.11
134735	"149A"	100.00	1.52353262340406e-04	9.9e-03
134736	"149A"	100.00	2.50690368032851e-03	0.16
134737	"149A"	93.24	0.06	4.08
134737	"153D"	6.75	4.64856889779606e-03	0.29
134738	"149A"	100.00	2.77005931528012e-05	1.8e-03
134740	"149A"	96.10	0.12	8.33
134740	"153D"	3.89	5.29852078016268e-03	0.33
134741	"149A"	90.99	0.13	8.89
134741	"153D"	9.00	0.01	0.88
134742	"149A"	100.00	0.03	1.98
134745	"149A"	98.34	0.55	35.85
134745	"153D"	1.65	9.46669046055732e-03	0.60
134746	"149A"	98.34	0.14	9.18
134746	"153D"	1.65	2.43025486450128e-03	0.15
134747	"149A"	99.52	0.07	4.55
134747	"153D"	0.47	3.39105329930411e-04	0.02
134748	"149A"	94.80	0.09	6.42
134748	"153D"	5.19	5.52459100011628e-03	0.35
134749	"149A"	100.00	0.06	4.40
134750	"149A"	100.00	0.19	12.48
134751	"149A"	100.00	0.04	3.19
134752	"149A"	100.00	0.05	3.43
134753	"149A"	100.00	0.07	4.68
134754	"149A"	100.00	0.08	5.75
134755	"153D"	100.00	0.05	3.38
134756	"149A"	95.51	0.02	1.43
134756	"153D"	4.48	1.05970415603254e-03	0.06
134757	"153D"	79.46	0.01	0.95
134757	"149A"	20.53	3.80883155851016e-03	0.24
134758	"149A"	97.16	0.02	1.63
134758	"153D"	2.83	7.48857603596325e-04	0.04
134759	"153D"	86.80	0.19	12.26
134759	"149A"	13.19	0.02	1.86
134761	"153D"	61.98	0.44	28.49
134761	"149A"	38.01	0.26	17.47
134762	"149A"	53.69	0.12	7.99
134762	"153D"	46.30	0.10	6.89
134763	"153D"	74.36	0.12	7.91
134763	"149A"	25.63	0.04	2.72
134764	"153D"	52.28	0.05	3.38
134764	"149A"	47.71	0.04	3.08
134765	"153D"	75.56	0.44	28.16
134765	"149A"	24.43	0.14	9.10
134767	"149A"	98.31	0.12	7.82
134767	"153D"	1.68	2.10527892331797e-03	0.13
