"","dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname"
"6782",119302,160191,160191,"98",2895,0.00604267607100485,0.00604267607100485,0.00604267607100485,100,"98",100,100,"Carmi",237855,"IN151","Steuben County, Indiana","5cpg","Carmi sandy loam, 0 to 2 percent slopes",17.762669922692,TRUE,100,"mollisols","typic hapludolls","Coarse-loamy, mixed, superactive, mesic Typic Hapludolls","well",1,91,250,10,61.2,29.7,9.1,3.65,8.50000008940697,5.68000019073486,21.32,73.3666666666667,18.9866666666667,7.64666666666667,1.755,16.1900000814348,"none",30,0,"outwash & outwash",NA,"outwash plain","no","no",250,"12-FIN Findlay, Ohio"
"6906",119346,160235,160235,"98",3836,0.00800680670410176,0.00800680670410176,0.0130567367160427,61.3231841786612,"98",61.3231841786612,100,"Brems",1510429,"IN151","Steuben County, Indiana","5cqw","Plainfield fine sand, 0 to 2 percent slopes",17.7420959649229,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio"
"6907",119346,160235,160235,"98",3836,0.00800680670410176,0.00800680670410176,0.0130567367160427,61.3231841786612,"98",61.3231841786612,100,"Granby",237914,"IN151","Steuben County, Indiana","5cqw","Plainfield fine sand, 0 to 2 percent slopes",17.7420959649229,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio"
"6911",119346,160235,160235,"98",3836,0.00800680670410176,0.00800680670410176,0.0130567367160427,61.3231841786612,"98",61.3231841786612,100,"Plainfield",237913,"IN151","Steuben County, Indiana","5cqw","Plainfield fine sand, 0 to 2 percent slopes",17.7420959649229,TRUE,90,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","excessively",1,250,250,0,89.54,6.84,3.62,0.595,3.45999992266297,6.17600005149841,0,93.08,4.32,2.6,0.365,7.5199998319149,"none",0,0,"outwash",NA,"outwash plain","no","no",250,"12-FIN Findlay, Ohio"
"6913",119347,160236,160236,"98",4894,0.0102151491162341,0.0102151491162341,0.01838483571914,55.5629066927119,"98",55.5629066927119,100,"Plainfield",237915,"IN151","Steuben County, Indiana","5cqx","Plainfield fine sand, 2 to 10 percent slopes",17.7427808872465,TRUE,100,"entisols","typic udipsamments","Mixed, mesic Typic Udipsamments","excessively",6,250,250,0,89.54,6.84,3.62,0.595,3.45999992266297,6.17600005149841,0,93.08,4.32,2.6,0.365,7.5199998319149,"none",0,0,"outwash",NA,"outwash plain","no","no",250,"12-FIN Findlay, Ohio"
"14910",124313,614084,614084,"98",459,0.000958061594677452,0.000958061594677452,0.000958061594677452,100,"98",100,100,"Udorthents",243833,"IN141","St. Joseph County, Indiana","nm05","Udorthents, loamy",18.1872553690326,TRUE,100,"entisols",NA,"Udorthents","well",6,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"moraine & till plain","unranked","no",250,"12-FIN Findlay, Ohio"
"14927",124313,272701,272701,"97",4512,0.0450879920344547,0.0450879920344547,0.0522452757123392,86.3006107627946,"97",86.3006107627946,100,"Udorthents",243833,"IN091","La Porte County, Indiana","94rt","Udorthents, loamy",18.3100844225795,TRUE,100,"entisols",NA,"Udorthents","well",6,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"moraine & till plain","unranked","no",250,"12-FIN Findlay, Ohio"
"14933",124313,164672,164672,"99",742,0.00196458764576208,0.00196458764576208,0.0026760753194732,73.4130176182341,"99",73.4130176182341,100,"Udorthents",243833,"IN003","Allen County, Indiana","5jc0","Borrow pits",18.4875011798398,TRUE,100,"entisols",NA,"Udorthents","well",6,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"till, unspecified",NA,"moraine & till plain","unranked","no",250,"12-FIN Findlay, Ohio"
"15099",124326,612241,612241,"98",540,0.00112713128785583,0.00112713128785583,0.00206250512773381,54.6486538481614,"98",54.6486538481614,100,"Goodell",899289,"IN141","St. Joseph County, Indiana","nk2q","Urban land-Rensselaer complex, 0 to 1 percent slopes",18.1391144850123,FALSE,3,"mollisols","typic endoaquolls","Coarse-loamy, mixed, superactive, mesic Typic Endoaquolls","poorly",1,81,250,0,67,18,15,2.4,7.90000006556511,6.5,3.68,74.6,13.88,11.52,1.395,18.2999999821186,"none",30,0,"outwash & outwash & till, unspecified",NA,"depression & till plain","yes","no",25,"12-FIN Findlay, Ohio"
"15108",124326,612241,612241,"98",540,0.00112713128785583,0.00112713128785583,0.00206250512773381,54.6486538481614,"98",54.6486538481614,100,"Whitaker",899290,"IN141","St. Joseph County, Indiana","nk2q","Urban land-Rensselaer complex, 0 to 1 percent slopes",18.1391144850123,FALSE,3,"alfisols","aeric endoaqualfs","Fine-loamy, mixed, active, mesic Aeric Endoaqualfs","somewhat poorly",1,122,250,5.86,40.86,43.18,15.96,1.825,10.219999730587,6.45799997329712,7.51333333333333,48.9533333333333,33.18,17.8666666666667,1.10833333333333,27.3699999153614,"none",43,0,"outwash",NA,"till plain & moraine & outwash plain","no","no",50,"12-FIN Findlay, Ohio"
