"dmuiid","lmapunitiid","muiid","MLRARSYM","Count","percentmlra","pmlra","mu.total","affinity","LRU","best","ofbest","compname","coiid","areasymbol","areaname","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","grpname"
125348,1677352,1677352,"124",12,3.31235161009823e-05,3.31235161009823e-05,3.31235161009823e-05,100,"124",100,100,"Chili",244596,"OH075","Holmes County, Ohio","1t9f4","Chili gravelly loam, 6 to 12 percent slopes",17.5625200271606,TRUE,85,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",9,122,250,0,42.2799995422363,40.2200004577637,17.5,1.25,6.29999980330467,5.84000015258789,0,59.5173342386882,26.9293338521322,13.5533333333333,0.664666664997737,14.819999948144,"none",20,0,"outwash","sandstone and siltstone","terrace & kame","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
125348,2108992,2108992,"124",1,2.76029300841519e-06,2.76029300841519e-06,2.76029300841519e-06,100,"124",100,100,"Chili",244596,"OH031","Coshocton County, Ohio","28sl0","Chili gravelly loam, 6 to 12 percent slopes",17.7963027954102,TRUE,85,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",9,122,250,0,42.2799995422363,40.2200004577637,17.5,1.25,6.29999980330467,5.84000015258789,0,59.5173342386882,26.9293338521322,13.5533333333333,0.664666664997737,14.819999948144,"none",20,0,"outwash","sandstone and siltstone","terrace & kame","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
125348,1592658,1592658,"124",55,0.000151816115462836,0.000151816115462836,0.000151816115462836,100,"124",100,100,"Chili",244596,"OH005","Ashland County, Ohio","1qg92","Chili gravelly loam, 6 to 12 percent slopes",17.6562743793834,TRUE,85,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",9,122,250,0,42.2799995422363,40.2200004577637,17.5,1.25,6.29999980330467,5.84000015258789,0,59.5173342386882,26.9293338521322,13.5533333333333,0.664666664997737,14.819999948144,"none",20,0,"outwash","sandstone and siltstone","terrace & kame","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
125348,613566,613566,"124",6301,0.0173926062460241,0.0173926062460241,0.0202844671078889,85.7434713641551,"124",85.7434713641551,100,"Chili",244596,"OH083","Knox County, Ohio","nlgg","Chili gravelly loam, 6 to 12 percent slopes",17.6503011987705,TRUE,85,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",9,122,250,0,42.2799995422363,40.2200004577637,17.5,1.25,6.29999980330467,5.84000015258789,0,59.5173342386882,26.9293338521322,13.5533333333333,0.664666664997737,14.819999948144,"none",20,0,"outwash","sandstone and siltstone","terrace & kame","no","no",250,"F139XY003OH","12-BEL Belmont, New York"
125352,613570,613570,"124",21822,0.0602351140296364,0.0602351140296364,0.0743941957765492,80.9674913491355,"124",80.9674913491355,100,"Chili",244608,"OH083","Knox County, Ohio","nlgl","Chili silt loam, 2 to 6 percent slopes",17.6826483658313,TRUE,90,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",4,250,250,0,36.0499992370605,46.9500007629395,17,1.375,7.24999979138374,5.85000014305115,0,44.5739993286133,36.7993340047201,18.6266666666667,0.910333332618078,18.8099994137883,"none",25,0,"glaciofluvial deposits & outwash","mixed & sandstone and siltstone","terrace & alluvial fan","no","no",250,"F139XY003OH","State Office OH - Region 6"
125352,1406535,1406535,"124",8,2.20823440673216e-05,2.20823440673216e-05,2.20823440673216e-05,100,"124",100,100,"Chili",244608,"OH139","Richland County, Ohio","1j6m3","Chili silt loam, 2 to 6 percent slopes",17.6744949817657,TRUE,90,"alfisols","typic hapludalfs","Fine-loamy, mixed, mesic Typic Hapludalfs","well",4,250,250,0,36.0499992370605,46.9500007629395,17,1.375,7.24999979138374,5.85000014305115,0,44.5739993286133,36.7993340047201,18.6266666666667,0.910333332618078,18.8099994137883,"none",25,0,"glaciofluvial deposits & outwash","mixed & sandstone and siltstone","terrace & alluvial fan","no","no",250,"F139XY003OH","State Office OH - Region 6"
125374,1406538,1406538,"124",745,0.00205641829126932,0.00205641829126932,0.00207992950950015,98.8696146612928,"124",98.8696146612928,100,"Homewood",244680,"OH139","Richland County, Ohio","1j6m6","Homewood silt loam, 2 to 6 percent slopes",17.6454380156984,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","moderately well",4,250,250,0,30.7000007629395,45.7999992370605,23.5,1.32499998807907,10.0000001490116,5.75,0,33.1666679382324,40.3333320617676,26.5,0.722999989191691,20.4000001847744,"none",25,0,"till, unspecified","sandstone and shale","till plain","no","no",100,"F139XY004OH","12-BEL Belmont, New York"
125374,613592,613592,"124",78036,0.215402225204688,0.215402225204688,0.216862840656751,99.326479609121,"124",99.326479609121,100,"Homewood",244680,"OH083","Knox County, Ohio","nlh9","Homewood silt loam, 2 to 6 percent slopes",17.6568816286737,TRUE,85,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","moderately well",4,250,250,0,30.7000007629395,45.7999992370605,23.5,1.32499998807907,10.0000001490116,5.75,0,33.1666679382324,40.3333320617676,26.5,0.722999989191691,20.4000001847744,"none",25,0,"till, unspecified","sandstone and shale","till plain","no","no",100,"F139XY004OH","12-BEL Belmont, New York"
125375,613593,613593,"124",72814,0.200987975114744,0.200987975114744,0.204749586887475,98.1628232662572,"124",98.1628232662572,100,"Homewood",244683,"OH083","Knox County, Ohio","nlhb","Homewood silt loam, 6 to 12 percent slopes",17.6606256389094,TRUE,90,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","moderately well",9,250,250,0,30.7000007629395,45.7999992370605,23.5,1.32499998807907,10.0000001490116,5.75,0,33.1666679382324,40.3333320617676,26.5,0.722999989191691,20.4000001847744,"none",25,0,"till, unspecified","sandstone and shale","drainageway & till plain","no","no",100,"F139XY004OH","12-BEL Belmont, New York"
125375,1406539,1406539,"124",786,0.00216959030461434,0.00216959030461434,0.00224894066614341,96.4716560679594,"124",96.4716560679594,100,"Homewood",244683,"OH139","Richland County, Ohio","1j6m7","Homewood silt loam, 6 to 12 percent slopes",17.6478569598509,TRUE,90,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","moderately well",9,250,250,0,30.7000007629395,45.7999992370605,23.5,1.32499998807907,10.0000001490116,5.75,0,33.1666679382324,40.3333320617676,26.5,0.722999989191691,20.4000001847744,"none",25,0,"till, unspecified","sandstone and shale","drainageway & till plain","no","no",100,"F139XY004OH","12-BEL Belmont, New York"
125376,613594,613594,"124",23805,0.0657087750653237,0.0657087750653237,0.0676183188706768,97.1759963316965,"124",97.1759963316965,100,"Homewood",244686,"OH083","Knox County, Ohio","nlhc","Homewood silt loam, 12 to 18 percent slopes, eroded",17.6584030280555,TRUE,90,"alfisols","typic fragiudalfs","Fine-loamy, mixed, mesic Typic Fragiudalfs","well",15,250,250,0,30.7000007629395,45.7999992370605,23.5,1.32499998807907,10.0000001490116,5.75,0,33.1666679382324,40.3333320617676,26.5,0.722999989191691,20.4000001847744,"none",25,0,"till, unspecified","sandstone and shale","till plain","no","no",250,"F139XY004OH","12-BEL Belmont, New York"
