"dmuiid","MLRA","LRU","compname","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
119130,"111C",NA,"Conover",237614,"IN033","De Kalb County, Indiana",160322,160322,"5ctp","Conover loam, 0 to 3 percent slopes",18.1140006277768,TRUE,90,"alfisols","udollic endoaqualfs","Fine-loamy, mixed, active, mesic Udollic Endoaqualfs","somewhat poorly",2,71,250,9.62,38.62,36.44,24.94,2.015,7.99000013619661,6.60799989700317,10.24,38.84,41.9466666666667,19.2133333333333,1.17166666666667,14.0400002263486,"none",23,0,"till, unspecified",NA,"moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
119130,"111C",NA,"Rensselaer",237615,"IN033","De Kalb County, Indiana",160322,160322,"5ctp","Conover loam, 0 to 3 percent slopes",18.1140006277768,FALSE,10,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119134,"111C",NA,"Hillsdale",237624,"IN033","De Kalb County, Indiana",160326,160326,"5ctt","Hillsdale fine sandy loam, 2 to 10 percent slopes",18.1335931018674,TRUE,100,"alfisols","typic hapludalfs","Coarse-loamy, mixed, active, mesic Typic Hapludalfs","well",6,119,250,13.72,65.4,23.54,11.06,1.375,7.49999992549419,6.27600004196167,12.5733333333333,57.7533333333333,27.34,14.9066666666667,0.958333333333333,20.8799998834729,"none",25,0,"till, unspecified",NA,"moraine","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119137,"111C",NA,"Martisco",237628,"IN033","De Kalb County, Indiana",160329,160329,"5ctx","Martisco muck, undrained",18.1543871364762,TRUE,100,"inceptisols","histic humaquepts","Fine-silty, carbonatic, mesic Histic Humaquepts","very poorly",0.5,0,250,0,8.5,32.5,9,32.625,10.0000001490116,7.75,0,14.1666666666667,54.1666666666667,15,11.0416666666667,10.0000001490116,"none",25,0,"organic, herbaceous material & marl",NA,"depression & till plain & lake plain","yes","no",0,"12-FIN Findlay, Ohio","R111CY013IN"
119150,"111C",NA,"Rensselaer",237644,"IN033","De Kalb County, Indiana",160342,160342,"5cvb","Strawn loam, 2 to 6 percent slopes, eroded",18.1147149098247,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-FIN Findlay, Ohio",NA
119150,"111C",NA,"Strawn",237643,"IN033","De Kalb County, Indiana",160342,160342,"5cvb","Strawn loam, 2 to 6 percent slopes, eroded",18.1147149098247,TRUE,90,"alfisols","typic hapludalfs","Fine-loamy, mixed, active, mesic Typic Hapludalfs","well",4,58,250,8,36.4,37.6,26,1.65,8.39999988675117,6.61999988555908,9.84,38.5866666666667,38.9866666666667,22.4266666666667,1.05,20.5599996447563,"none",20,0,"till, unspecified",NA,"moraine","no","no",250,"12-FIN Findlay, Ohio","R111CY006IN"
119150,"111C",NA,"Conover",1505178,"IN033","De Kalb County, Indiana",160342,160342,"5cvb","Strawn loam, 2 to 6 percent slopes, eroded",18.1147149098247,FALSE,7,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"no","no",250,"12-FIN Findlay, Ohio",NA
119151,"111C",NA,"Strawn",237645,"IN033","De Kalb County, Indiana",160343,160343,"5cvc","Strawn loam, 6 to 12 percent slopes, eroded",18.1371936901705,TRUE,100,"alfisols","typic hapludalfs","Fine-loamy, mixed, active, mesic Typic Hapludalfs","well",9,58,250,8,36.4,37.6,26,1.65,8.39999988675117,6.61999988555908,9.84,38.5866666666667,38.9866666666667,22.4266666666667,1.05,20.5599996447563,"none",20,0,"till, unspecified",NA,"moraine","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119152,"111C",NA,"Strawn",237646,"IN033","De Kalb County, Indiana",160344,160344,"5cvd","Strawn clay loam, 6 to 12 percent slopes, severely eroded",18.1351120787001,TRUE,100,"alfisols","typic hapludalfs","Fine-loamy, mixed, active, mesic Typic Hapludalfs","well",9,48,250,8.48,32.92,38.68,28.4,0.84,7.85999996960163,6.85599988937378,10.16,37.64,39.56,22.8,0.78,19.8599997013807,"none",0,0,"till, unspecified",NA,"moraine","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
119153,"111C",NA,"Strawn",237647,"IN033","De Kalb County, Indiana",160345,160345,"5cvf","Strawn clay loam, 12 to 18 percent slopes, severely eroded",18.1319084215829,TRUE,100,"alfisols","typic hapludalfs","Fine-loamy, mixed, active, mesic Typic Hapludalfs","well",15,48,250,8.48,32.92,38.68,28.4,0.84,7.68000014126301,6.85599988937378,10.16,37.64,39.56,22.8,0.78,19.6799998730421,"none",0,0,"till, unspecified",NA,"moraine","no","no",250,"12-FIN Findlay, Ohio","F111CY007IN"
