"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"Ade","R111DY026IN",118734,"111D",NA,237097,"IN167","Vigo County, Indiana",159638,159638,"5c3m","Ade loamy fine sand, 2 to 6 percent slopes",20.2744435868946,TRUE,100,"mollisols","lamellic argiudolls","Coarse-loamy, mixed, superactive, mesic Lamellic Argiudolls","somewhat excessively",4,250,250,0,85.52,8.92,5.56,0.53,4.61999998986721,5.80000019073486,0,88.5066666666667,6.30666666666667,5.18666666666667,0.343333333333333,11.6200000196695,"none",0,0,"eolian sands",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY001IN"
"Ade","R111DY026IN",118735,"111D",NA,237098,"IN167","Vigo County, Indiana",159639,159639,"5c3n","Ade loamy fine sand, 6 to 12 percent slopes",20.4029763128312,TRUE,100,"mollisols","lamellic argiudolls","Coarse-loamy, mixed, superactive, mesic Lamellic Argiudolls","somewhat excessively",9,28,250,0,85.52,8.92,5.56,0.53,4.61999998986721,6.10800010681152,0,88.5066666666667,6.30666666666667,5.18666666666667,0.343333333333333,11.6200000196695,"none",0,0,"eolian sands",NA,"dune","no","no",250,"12-IND Indianapolis, Indiana","R111CY001IN"
"Adeland","F111DY023IN",152968,"111D",NA,280577,"IN045","Fountain County, Indiana",242373,242373,"846h","Adeland silt loam, 0 to 2 percent slopes",19.3917550685212,TRUE,97,"alfisols","aeric endoaqualfs","Fine, mixed, superactive, mesic Aeric Endoaqualfs","somewhat poorly",1,250,86,2.18,15.5,51.68,32.82,1.875,9.92000010609627,5.84999990463257,4.47674418604651,20.1744186046512,44,35.8255813953488,1.40406976744186,15.4400001168251,"none",25,0,"loess & till, unspecified & residuum","shale and siltstone","structural bench","no","no",50,"12-IND Indianapolis, Indiana","F111DY023IN"
"Adrian","R111DY001IN",153336,"111D",NA,280971,"IN045","Fountain County, Indiana",242300,242300,"8444","Adrian muck, 0 to 1 percent slopes, frequently flooded, long duration",19.4027556989532,TRUE,90,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0.5,91,250,0,0,0,0,65,20.0000002980232,5.90000009536743,3.14666666666667,35.4,2.75333333333333,1.18,40.6133333333333,39.9400004632771,"flood",152,0,"organic, herbaceous material & outwash",NA,"backswamp & flood plain","yes","no",0,"12-IND Indianapolis, Indiana","R111DY001IN"
"Alfic Udarents",NA,584164,"111D",NA,2496414,"OH061","Hamilton County, Ohio",2652854,2501428,"2pyy7","Urban land-Alfic Udarents complex, clayey substratum over bedrock, 0 to 12 percent slopes",20.5571633284706,TRUE,40,"entisols","alfic udarents","Alfic Udarents","well",6,250,51,12,10,40,50,0.25,4.50000017881393,6.80000019073486,12,10,40,50,0.25,4.59000018239021,"none",0,0,"residuum","limestone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Alfic Udarents",NA,571012,"111D",NA,2501940,"OH061","Hamilton County, Ohio",2652863,2509125,"2q6yj","Urban land-Alfic Udarents complex, loamy substratum over till, 0 to 12 percent slopes",20.5325758521937,TRUE,40,"entisols","alfic udarents","Alfic Udarents","moderately well",6,91,250,0,11.8240000915527,59.4160003662109,28.76,0,10.9999999403954,5.5880001449585,0.786666666666667,25.7053334681193,46.0413338724772,28.2533333333333,0,25.9199999794364,"none",0,0,"loess & till, unspecified",NA,"till plain","no","no",100,"6-OWN Owensboro, Kentucky","F111CY007IN"
"Alfic Udarents",NA,608530,"111D",NA,2496367,"OH061","Hamilton County, Ohio",2652831,2530537,"2qy77","Alfic Udarents-Urban land complex, clayey substratum over bedrock, 0 to 12 percent slopes",20.5030428171158,TRUE,65,"entisols","alfic udarents","Alfic Udarents","well",6,250,51,12,10,40,50,0.25,4.50000017881393,6.80000019073486,12,10,40,50,0.25,4.59000018239021,"none",0,0,"residuum","limestone and shale","hill","no","no",250,"6-OWN Correlated MLRA Data","F111DY023IN"
"Alfic Udarents",NA,570972,"111D",NA,2502062,"OH061","Hamilton County, Ohio",2652875,2501439,"2pyyl","Urban land-Alfic Udarents-Eden complex, 0 to 12 percent slopes",20.5614588970734,TRUE,30,"entisols","alfic udarents","Alfic Udarents","well",6,250,66,12,10,40,50,0.25,4.50000017881393,6.80000019073486,12,10,40,50,0.25,5.94000023603439,"none",0,0,"residuum","limestone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Alfic Udarents",NA,570977,"111D",NA,1933453,"OH061","Hamilton County, Ohio",2652880,2501443,"2pyyq","Urban land-Alfic Udarents-Fincastle complex, 0 to 12 percent slopes",20.2910513927282,TRUE,30,"entisols","alfic udarents","Alfic Udarents","somewhat poorly",6,64,250,0,7.09999990463257,65.4000015258789,27.5,0.25,9.49999988079071,5.59999990463257,0.613333333333333,20.7393334960937,52.8106671142578,26.45,0.187000000625849,23.6299997195601,"none",0,0,"loess & till, unspecified",NA,"till plain","no","no",50,"6-OWN Owensboro, Kentucky","F111CY007IN"
"Alfic Udarents",NA,570981,"111D",NA,1970160,"OH061","Hamilton County, Ohio",2652886,2501450,"2pyyy","Urban land-Alfic Udarents-Miamian complex, 12 to 25 percent slopes",20.3636385055787,TRUE,30,"entisols","alfic udarents","Alfic Udarents","well",18,0,250,12.88,28.9280000305176,32.6919999694824,38.38,0.635999977588654,7.36000028252602,6.26799982070923,10.96,35.7760005187988,35.7639994812012,28.46,0.412000000476837,15.3600001037121,"none",0,0,"loess & till, unspecified",NA,"till plain","no","no",250,"6-OWN Owensboro, Kentucky","F111CY007IN"
