"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"1 area used as a sanitary landfill",NA,128006,"111E",NA,1192211,"OH117","Morrow County, Ohio",170373,170373,"5q8x","Udorthents, loamy",17.8034580402252,FALSE,3,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-FIN Findlay, Ohio",NA
"70 to 80 percent slopes",NA,129819,"111E",NA,277704,"OH077","Huron County, Ohio",1605967,1605967,"1qx4d","Amanda-Dekalb-Rock outcrop association, 40 to 70 percent slopes",18.2685313192596,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-BEL Belmont, New York",NA
"70 to 80 percent slopes",NA,129819,"111E",NA,277704,"OH043","Erie County, Ohio",172105,172105,"5s2s","Amanda-Dekalb-Rock outcrop association, 40 to 70 percent slopes",18.2685313192596,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,NA,"no",250,"12-BEL Belmont, New York",NA
"Abandoned Canal",NA,443818,"111E",NA,1138589,"OH089","Licking County, Ohio",784301,784301,"vb41","Abandoned Canal",18.6539320200682,TRUE,100,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"hill","unranked","no",250,"12-IND Indianapolis, Indiana",NA
"Aeric Epiaquents",NA,692375,"111E",NA,2246317,"OH049","Franklin County, Ohio",167873,2598183,"2t6mc","Bennington-Urban land complex, 0 to 2 percent slopes",19.3963492615431,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",1,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
"Aeric Epiaquents",NA,692375,"111E",NA,2246317,"OH089","Licking County, Ohio",170996,2598183,"2t6mc","Bennington-Urban land complex, 0 to 2 percent slopes",19.3963492615431,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",1,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
"Aeric Epiaquents",NA,692380,"111E",NA,2246323,"OH049","Franklin County, Ohio",167874,2598190,"2t6ml","Bennington-Urban land complex, 0 to 6 percent slopes",19.1836701746351,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",2,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
"Aeric Epiaquents",NA,692380,"111E",NA,2246323,"OH033","Crawford County, Ohio",168540,2598190,"2t6ml","Bennington-Urban land complex, 0 to 6 percent slopes",19.1836701746351,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",2,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
"Aeric Epiaquents",NA,692381,"111E",NA,2429827,"OH045","Fairfield County, Ohio",172320,2598191,"2t6mm","Urban land-Bennington complex, 0 to 6 percent slopes",19.385041389055,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",2,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
"Aeric Epiaquents",NA,692381,"111E",NA,2429827,"OH049","Franklin County, Ohio",167944,2598191,"2t6mm","Urban land-Bennington complex, 0 to 6 percent slopes",19.385041389055,FALSE,9,"entisols","aeric epiaquents","Mesic Aeric Epiaquents","somewhat poorly",2,0,250,8,24,41,35,0.25,2.99999993294477,7.40000009536743,6.48666666666667,20.6666666666667,45.42,33.9133333333333,0.326666666666667,14.430000346154,"none",0,0,"human-transported material & till, unspecified","NA & sandstone and shale","moraine","no","no",50,"12-FIN Findlay, Ohio","R111CY006IN"
