"Series","ES","dmuiid","MLRA","LRU","coiid","areasymbol","areaname","lmapunitiid","muiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","grpname","Site111"
"6 to 12 inches of silty overwash",NA,129307,"114A",NA,1308688,"OH071","Highland County, Ohio",1420480,1420480,"1jp3y","Montgomery silty clay loam",19.0381003074548,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"depression","yes","no",25,"12-IND Indianapolis, Indiana",NA
"abandoned quarries",NA,129188,"114A",NA,1995802,"OH071","Highland County, Ohio",1420361,1420361,"1jp03","Berks-Muskingum-Neotoma channery silt loams, 35 to 50 percent slopes",19.0609420231743,FALSE,1,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,NA,"unranked","no",250,"6-MAT Marietta, Ohio",NA
"Abscota Variant",NA,129030,"114A",NA,1370001,"OH165","Warren County, Ohio",171347,171347,"5r9b","Genesee fine sandy loam",19.739769297854,FALSE,NA,NA,NA,NA,NA,0,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,"alluvium",NA,"flood plain",NA,"no",250,"12-IND Indianapolis, Indiana","F111DY004IN"
"Adrian","R111AY001IN",124754,"114A",NA,244297,"IN119","Owen County, Indiana",165856,165856,"5kl6","Adrian muck, undrained, 0 to 1 percent slopes",19.5219530483375,TRUE,100,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,250,250,0,7,88,5,65,20.0000002980232,6.40000009536743,4.16,33.56,61.12,5.32,44.36,43.6800005435944,"none",102,0,"organic, herbaceous material & outwash",NA,"depression","yes","no",0,"12-IND Indianapolis, Indiana","R111DY001IN"
"Adyeville","F114AY302IN",124867,"114A",NA,244462,"IN119","Owen County, Indiana",166321,166321,"5l26","Tulip-Wellston-Adyeville silt loams, 18 to 25 percent slopes",19.6315709035083,TRUE,21,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",21,250,89,12.6,34,50.6,15.4,0.959999990463257,8.0000002682209,4.68000001907349,13.2134831460674,34.876404494382,49.0224719101124,16.1011235955056,0.648876399136661,13.850000500679,"none",10,0,"residuum","sandstone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Adyeville","F114AY302IN",124801,"114A",NA,290604,"IN119","Owen County, Indiana",166065,166065,"5ksy","Hickory-Wellston silt loams, 25 to 35 percent slopes",19.6051612374115,FALSE,7,NA,NA,NA,NA,30,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"till plain","no","no",250,"12-IND Indianapolis, Indiana",NA
"Adyeville","F114AY302IN",124800,"114A",NA,290599,"IN119","Owen County, Indiana",166064,166064,"5ksx","Hickory-Wellston silt loams, 18 to 25 percent slopes",19.5985239655529,FALSE,3,NA,NA,NA,NA,30,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",0,NA,NA,NA,"till plain","no","no",250,"12-IND Indianapolis, Indiana",NA
"Adyeville","F114AY302IN",124865,"114A",NA,2375224,"IN119","Owen County, Indiana",166316,166316,"5l21","Tipsaw-Rock outcrop complex, 35 to 70 percent slopes",19.520135362035,FALSE,12,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",40,250,89,12.6,34,50.6,15.4,0.959999990463257,8.0000002682209,4.68000001907349,13.2134831460674,34.876404494382,49.0224719101124,16.1011235955056,0.648876399136661,13.850000500679,"none",10,0,"residuum","sandstone and shale","hill","no","no",250,"6-OWN Owensboro, Kentucky","F111DY023IN"
"Adyeville","F114AY302IN",749816,"114A",NA,2454961,"IN021","Clay County, Indiana",159634,2656400,"2w56b","Wellston silt loam, 12 to 18 percent slopes, eroded",19.6270783991605,FALSE,4,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","somewhat excessively",15,250,61,10.8,37.2,46.7,16.1,1.31499998569489,8.95000010728836,4.77000002861023,11.5573770491803,38.0655737704918,45.672131147541,16.2622950819672,1.12295080794663,10.8200001269579,"none",15,0,"residuum","sandstone and shale","hill","no","no",250,"12-IND Indianapolis, Indiana","F111DY023IN"
"Adyeville","F114AY302IN",124798,"114A",NA,244370,"IN119","Owen County, Indiana",166062,166062,"5ksv","Hickory-Adyeville complex, 35 to 60 percent slopes",19.6221335960265,TRUE,21,"ultisols","typic hapludults","Coarse-loamy, mixed, semiactive, mesic Typic Hapludults","well",50,250,64,11.2,36.48,46.84,16.68,0.817999992370605,7.90000027418137,4.64400001525879,11.375,36.375,46.875,16.75,0.693749994039536,10.0000003576279,"none",8,0,"residuum","sandstone and shale","till plain","no","no",250,"12-IND Indianapolis, Indiana","F111DY023IN"
