"compname","MLRARSYM","Count","total","percentmlra","ctotal","affinity"
"Aaron","124",216499,127505241,0.169796157634022,0.34398751071436,49.36
"Aaron","126",73634,164009984,0.044896047304047,0.34398751071436,13.05
"Aaron","121",155085,119946350,0.129295305776291,0.34398751071436,37.59
"Abbottstown","149A",5768,31149224,0.0185173152307101,1.56142324096609,1.19
"Abbottstown","130A",1418,11575167,0.0122503632129022,1.56142324096609,0.78
"Abbottstown","144A",102,194998048,5.23082159263461e-05,1.56142324096609,0
"Abbottstown","148",1506688,99448051,1.51505030500799,1.56142324096609,97.03
"Abbottstown","147",26393,177749021,0.0148484643411904,1.56142324096609,0.95
"Abbottstown","140",1432,203269067,0.000704484957369337,1.56142324096609,0.05
"Abenaki","143",8105,493943103,0.00164087724897335,0.00428163825303214,38.32
"Abenaki","144B",8766,331949767,0.00264076100405879,0.00428163825303214,61.68
"Abernathy","125",5,72179215,6.92720196527491e-06,0.0108519520265156,0.06
"Abernathy","122",17729,192403601,0.00921448450437266,0.0108519520265156,84.91
"Abernathy","123",674,41335991,0.00163054032017764,0.0108519520265156,15.03
"Abram","146",1136756,26974966,4.21411467210005,8.23576740407712,51.17
"Abram","144B",6136891,331949767,1.84874086686737,8.23576740407712,22.45
"Abram","144A",73369,194998048,0.0376255048460793,8.23576740407712,0.46
"Abram","142",86040,51240559,0.167913859019376,8.23576740407712,2.04
"Abram","143",9697426,493943103,1.96326782196208,8.23576740407712,23.84
"Abram","145",1022,24898413,0.00410467928216951,8.23576740407712,0.05
"Abscota","94A",3044,91610663,0.00332275730828408,0.599241837003836,0.55
"Abscota","111B",465,91807049,0.000506497055580122,0.599241837003836,0.08
"Abscota","96",33637,44104308,0.0762669261243142,0.599241837003836,12.73
"Abscota","99",51026,107369567,0.0475237084638704,0.599241837003836,7.93
"Abscota","97",116766,34895370,0.334617457846127,0.599241837003836,55.84
"Abscota","98",133657,175031822,0.0763615429884515,0.599241837003836,12.74
"Abscota","111C",17369,28641418,0.0606429472172083,0.599241837003836,10.12
"Abscota Variant","111A",3950,103233144,0.00382629051770427,0.00382629051770427,100
"Ackerman","111B",144,91807049,0.000156850701082877,0.140169625681685,0.11
"Ackerman","98",53526,175031822,0.0305807249152671,0.140169625681685,21.82
"Ackerman","111C",30082,28641418,0.105029716056656,0.140169625681685,74.93
"Ackerman","111D",265,41553717,0.000637728749993653,0.140169625681685,0.45
"Ackerman","110",2084,56520334,0.00368716858608797,0.140169625681685,2.63
"Ackerman","144A",151,194998048,7.74366725968457e-05,0.140169625681685,0.06
"Acquango","153C",1856,23918134,0.00775980266688028,0.0839328496256289,9.25
"Acquango","148",63,99448051,6.33496578027457e-05,0.0839328496256289,0.08
"Acquango","149A",160,31149224,0.000513656455775592,0.0839328496256289,0.61
"Acquango","153D",47547,62896151,0.0755960408451703,0.0839328496256289,90.07
"Acton","144A",98616,194998048,0.0505728139391426,0.161839893576519,31.25
"Acton","143",89,493943103,1.80182696062465e-05,0.161839893576519,0.01
"Acton","144B",369291,331949767,0.11124906136777,0.161839893576519,68.74
"Adamant","145",25007,24898413,0.10043612016557,0.12724885170908,78.93
"Adamant","143",62426,493943103,0.0126382977352758,0.12724885170908,9.93
"Adamant","144B",47052,331949767,0.0141744338082334,0.12724885170908,11.14
"Adams","146",60310,26974966,0.223577668272131,6.44954187163475,3.47
"Adams","141",46486,9138474,0.508684491524515,6.44954187163475,7.89
