"coiid","SiteID","nationalmusym","muname"
236597,"F098XB033IN","94hh","Alida loam"
236597,"R097XB046IL","94hh","Alida loam"
236601,"F098XB034IN","94hk","Bono silty clay"
236601,"R097XB047IL","94hk","Bono silty clay"
236603,"F098XB033IN","94hm","Brady fine sandy loam"
236603,"R097XB046IL","94hm","Brady fine sandy loam"
236605,"F098XB031IN","94hn","Brems fine sand, 0 to 4 percent slopes"
236605,"F097XA006MI","94hn","Brems fine sand, 0 to 4 percent slopes"
236610,"F098XB033IN","94hr","Darroch loam"
236610,"R097XB046IL","94hr","Darroch loam"
236612,"R097XB046IL","94hs","Del Rey silt loam"
236612,"F098XB033IN","94hs","Del Rey silt loam"
236617,"R097XB045IL","94hv","Door loam, 0 to 2 percent slopes"
236617,"F098XB033IN","94hv","Door loam, 0 to 2 percent slopes"
236619,"R097XB045IL","94hw","Door loam, 2 to 6 percent slopes"
236619,"F098XB033IN","94hw","Door loam, 2 to 6 percent slopes"
236628,"F098XB034IN","94j1","Gilford mucky fine sandy loam"
236628,"R097XB047IL","94j1","Gilford mucky fine sandy loam"
236629,"R097XB047IL","94j2","Gilford loam"
236629,"F098XB034IN","94j2","Gilford loam"
236643,"R097XB047IL","94jd","Milford silt loam, overwash"
236643,"F098XB034IN","94jd","Milford silt loam, overwash"
236681,"F098XB034IN","94jx","Pewamo silty clay loam"
236681,"R097XB047IL","94jx","Pewamo silty clay loam"
236683,"F098XB030IN","94jz","Plainfield fine sand, 0 to 6 percent slopes"
236683,"F097XB033IN","94jz","Plainfield fine sand, 0 to 6 percent slopes"
236685,"F097XB033IN","94k0","Plainfield fine sand, 6 to 12 percent slopes"
236685,"F098XB030IN","94k0","Plainfield fine sand, 6 to 12 percent slopes"
236688,"F098XB034IN","94k2","Rensselaer loam"
236688,"R097XB047IL","94k2","Rensselaer loam"
236689,"F098XB034IN","94k3","Rensselaer loam, sandy substratum"
236689,"R097XB047IL","94k3","Rensselaer loam, sandy substratum"
236690,"R097XB047IL","94k4","Rensselaer mucky loam, sandy substratum"
236690,"F098XB034IN","94k4","Rensselaer mucky loam, sandy substratum"
236692,"F098XB030IN","94k6","Sparta fine sand, 0 to 4 percent slopes"
236692,"F097XB033IN","94k6","Sparta fine sand, 0 to 4 percent slopes"
236698,"F098XB030IN","94k9","Tracy loam, 0 to 2 percent slopes"
236698,"F097XB033IN","94k9","Tracy loam, 0 to 2 percent slopes"
236700,"F098XB030IN","94kb","Tracy loam, 2 to 6 percent slopes"
236700,"F097XB033IN","94kb","Tracy loam, 2 to 6 percent slopes"
236702,"F098XB030IN","94kc","Tracy loam, 6 to 12 percent slopes"
236702,"F097XB033IN","94kc","Tracy loam, 6 to 12 percent slopes"
236706,"F098XB030IN","94kf","Tyner loamy fine sand, 0 to 6 percent slopes"
236706,"F097XB033IN","94kf","Tyner loamy fine sand, 0 to 6 percent slopes"
236710,"R097XB047IL","94kj","Wallkill silt loam"
236710,"F098XB034IN","94kj","Wallkill silt loam"
236712,"F097XB035IN","94kl","Watseka loamy fine sand"
236712,"F098XB033IN","94kl","Watseka loamy fine sand"
236720,"F098XB033IN","94kp","Whitaker loam"
236720,"R097XB046IL","94kp","Whitaker loam"
238217,"R097XB046IL","5d4s","Alida loam"
238217,"F098XB033IN","5d4s","Alida loam"
238217,"F097XA022MI","5d4s","Alida loam"
