"ncnesoil30m","MLRA.value","LRU","MLRA.total","Value","Count","percentmlra","mu.total","affinity","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T150_sand","T150_clay","T150_OM","T50_sand","T50_pH","flood","humicdepth","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","Site111"
165297,60,"98A1",36997771,82052,6120,0.016541537056381,0.026177745263708,63.1893117216389,63.1893117216389,100,"Adrian",283354,155041,"5k05","Adrian muck, undrained, 0 to 1 percent slopes",TRUE,75,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,37.9733333333333,2.13333333333333,43.1280000050863,0,6.5,"none",86,"organic, herbaceous material & outwash",,"depression & terrace & till plain & outwash plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
165297,60,"98A1",36997771,82052,6120,0.016541537056381,0.026177745263708,63.1893117216389,63.1893117216389,100,"Houghton",285937,155041,"5k05","Adrian muck, undrained, 0 to 1 percent slopes",FALSE,7,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,0,0,75,0,6.5,"none",203,"organic, herbaceous material",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
165297,60,"98A1",36997771,82052,6120,0.016541537056381,0.026177745263708,63.1893117216389,63.1893117216389,100,"Edwards",285936,155041,"5k05","Adrian muck, undrained, 0 to 1 percent slopes",FALSE,8,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,61,250,10.0866666666667,10.68,36.4333333333333,0,6.5,"none",203,"organic, herbaceous material & marl",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
165297,60,"98A1",36997771,82052,6120,0.016541537056381,0.026177745263708,63.1893117216389,63.1893117216389,100,"Muskego",285938,155041,"5k05","Adrian muck, undrained, 0 to 1 percent slopes",FALSE,5,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",1,250,250,0,0,53.4,0,6.5,"none",203,"organic, herbaceous material & coprogenic material",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
165360,60,"98A1",36997771,82058,2393,0.00646795721828756,0.00675097871808317,95.8076967560642,95.8076967560642,100,"Houghton",286074,154986,"5k26","Edwards muck, undrained, 0 to 1 percent slopes",FALSE,7,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,0,0,75,0,6.5,"none",203,"organic, herbaceous material",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
165360,60,"98A1",36997771,82058,2393,0.00646795721828756,0.00675097871808317,95.8076967560642,95.8076967560642,100,"Edwards",283276,154986,"5k26","Edwards muck, undrained, 0 to 1 percent slopes",TRUE,75,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,61,250,10.0866666666667,10.68,36.4333333333333,0,6.5,"none",203,"organic, herbaceous material & marl",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
165360,60,"98A1",36997771,82058,2393,0.00646795721828756,0.00675097871808317,95.8076967560642,95.8076967560642,100,"Adrian",286083,154986,"5k26","Edwards muck, undrained, 0 to 1 percent slopes",FALSE,5,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,37.9733333333333,2.13333333333333,43.1280000050863,0,6.5,"none",86,"organic, herbaceous material & outwash",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
165372,60,"98A1",36997771,82948,1114,0.00301099220274648,0.0041835098447569,71.9728724080832,71.9728724080832,100,"Adrian",2505108,754816,"2w5mv","Granby loamy sand, 0 to 2 percent slopes",FALSE,1,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
165373,60,"98A1",36997771,83212,779,0.00210553224949687,0.00265809803481212,79.2119862368315,79.2119862368315,100,"Adrian",1166612,124273,"5k2m","Gravelton loam, 0 to 1 percent slopes, occasionally flooded, brief duration",FALSE,4,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,37.9733333333333,2.13333333333333,43.1280000050863,0,6.5,"none",86,"organic, herbaceous material & outwash",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
165374,60,"98A1",36997771,82951,14968,0.0404564912842993,0.0662384021942525,61.0770941691128,61.0770941691128,100,"Adrian",1166615,124274,"5k2n","Gravelton loam, 0 to 1 percent slopes, frequently flooded, long duration",FALSE,12,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,37.9733333333333,2.13333333333333,43.1280000050863,0,6.5,"none",86,"organic, herbaceous material & outwash",,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186063,60,"98A1",36997771,65085,3771,0.0101925059215054,0.0128908480645713,79.0677686250767,79.0677686250767,100,"Houghton",2219235,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,3,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,0,0,74,0,5.92000007629395,"none",203,"organic, herbaceous material",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Deep Muck"
186063,60,"98A1",36997771,65085,3771,0.0101925059215054,0.0128908480645713,79.0677686250767,79.0677686250767,100,"Palms",2219233,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,2,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,89,250,13.9893339538574,13.42,38.77,0,6.5,"none",89,"organic, herbaceous material & drift",,"moraine & depression & drainageway & glacial drainage channel & drainageway & outwash plain & drainageway & depression & moraine & drainageway & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186063,60,"98A1",36997771,65085,3771,0.0101925059215054,0.0128908480645713,79.0677686250767,79.0677686250767,100,"Adrian",2219227,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186063,60,"98A1",36997771,65085,3771,0.0101925059215054,0.0128908480645713,79.0677686250767,79.0677686250767,100,"Edwards",2093966,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",TRUE,90,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0,23,250,11.2,9.52,41.82,0,5.87799989700317,"none",203,"organic, herbaceous material & marl",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Limnic Muck"
