"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"386",160857,"111C",160857,90,7419931,95578,348,0.00469007056804167,0.00469007056804167,0.0398840826613648,11.7592539556761,88.2407460443239,13.3263310690612
"601",161345,"111",161345,79,60797146,94370,30913,0.0508461367578011,0.0508461367578011,0.672280254345435,7.56323518787673,92.4367648121233,8.18206392580801
"608",161349,"111",161349,79,60797146,94427,87,0.000143098822434856,0.000143098822434856,0.329933994361829,0.0433719546576711,99.9566280453423,0.0433907740845326
"614",161352,"111",161352,79,60797146,94430,307,0.000504957913649433,0.000504957913649433,0.0194613268424722,2.59467361982442,97.4053263801756,2.66379028360044
"632",161367,"111",161367,79,60797146,94391,4479,0.00736712213431861,0.00736712213431861,0.111443607779164,6.61062781538556,93.3893721846144,7.0785654306761
"634",161368,"111",161368,79,60797146,94393,2244,0.00369096273038869,0.00369096273038869,0.0895452533011296,4.12189657666883,95.8781034233312,4.29910107678016
"637",161370,"111",161370,79,60797146,94445,116,0.000190798429913141,0.000190798429913141,0.125294023273887,0.152280551719586,99.8477194482804,0.152512799051425
"639",161371,"111",161371,79,60797146,94379,22600,0.037172797552043,0.037172797552043,0.854102729174027,4.35226305716076,95.6477369428392,4.55030426884198
"641",161372,"111",161372,79,60797146,94411,3659,0.00601837461251882,0.00601837461251882,0.448196603832168,1.34279790633408,98.6572020936659,1.36107438467515
"655",161381,"111",161381,79,60797146,94631,623,0.00102471915375765,0.00102471915375765,0.52428510888848,0.195450745478947,99.804549254521,0.195833503521478
"668",161393,"111",161393,79,60797146,94420,1387,0.00228135708870281,0.00228135708870281,0.0925406907877526,2.46524752439469,97.5347524756053,2.5275580875763
"670",161395,"111",161395,79,60797146,94444,154,0.000253301363850204,0.000253301363850204,0.0361103524282848,0.701464668209099,99.2985353317909,0.706419954599795
"674",161397,"111",161397,79,60797146,94387,24146,0.0397156800748509,0.0397156800748509,2.19339999941346,1.81069025647266,98.1893097435273,1.84408084872195
"680",161400,"111",161400,79,60797146,94386,11056,0.0181850641475835,0.0181850641475835,2.42234013576184,0.750722983907634,99.2492770160924,0.756401463545081
"697",161839,"111C",161839,90,7419931,95399,204,0.00274935171230029,0.00274935171230029,0.146838654885638,1.87236236564654,65.8482582407788,2.84345010129215
"701",161843,"111C",161843,90,7419931,95420,160,0.00215635428415709,0.00215635428415709,0.0405412994205926,5.3189076694019,60.6660972503644,8.76751251601231
"721",161855,"111C",161855,90,7419931,95373,220,0.002964987140716,0.002964987140716,0.162467865162191,1.82496836390141,52.6788816009929,3.4643263266755
"728",161858,"111C",161858,90,7419931,95378,404,0.00544479456749665,0.00544479456749665,0.14287493210713,3.81088164816349,63.6669703061507,5.9856494346101
"748",161870,"111C",161870,90,7419931,95416,38,0.000512134142487309,0.000512134142487309,0.017195160010836,2.97836217961667,54.13921401115,5.5013029539056
"772",162557,"111B",162557,91,30978541,96104,62,0.000200138541062989,0.000200138541062989,0.0656689579752503,0.304768869849311,85.1239292076298,0.358029607756868
"778",162560,"111B",162560,91,30978541,95197,35,0.000112981434471042,0.000112981434471042,0.323342465827669,0.0349417247690743,78.3076477032079,0.0446210884810461
"781",162561,"111C",162561,90,7419931,94977,2090,0.028167377836802,0.028167377836802,0.272001198465795,10.3556079883759,89.6443920116241,11.5518748646687
"783",162562,"111B",162562,91,30978541,96097,26,8.39290656070601e-05,8.39290656070601e-05,0.101179631810888,0.0829505544791166,78.3518297246219,0.105869326562835
"786",162564,"111B",162564,91,30978541,96101,170,0.000548766967430777,0.000548766967430777,0.288865774508923,0.189972996407654,67.6922923105219,0.280641990281846
"792",162566,"111B",162566,91,30978541,95195,383,0.00123633969721169,0.00123633969721169,0.097450787561869,1.26868107292286,64.8207367435035,1.95721483071543
"800",162570,"111B",162570,91,30978541,96094,14,4.5192573788417e-05,4.5192573788417e-05,0.184162813560298,0.0245394675041822,66.8464330986304,0.0367102122980515
"806",162573,"111B",162573,91,30978541,95179,227,0.000732765303569332,0.000732765303569332,0.497452655249396,0.147303526443529,65.3071055676463,0.225555129358703
"812",162575,"111B",162575,91,30978541,95174,1388,0.00448052088702305,0.00448052088702305,0.311904293506182,1.43650503706011,52.5599800535588,2.73307759172722
"830",162584,"111B",162584,91,30978541,95204,8,2.58243278790954e-05,2.58243278790954e-05,0.168524365402351,0.0153237947625199,81.0393322820759,0.018909083195777
"833",162585,"111C",162585,90,7419931,94918,2520,0.0339625799754742,0.0339625799754742,0.394265740916955,8.61413418687772,91.3858658131223,9.42611213477259
"846",162596,"111B",162596,91,30978541,95194,268,0.000865114983949696,0.000865114983949696,0.158759218526769,0.544922677232646,58.6565067506609,0.929006358235792
"891",163480,"111",163480,79,60797146,94484,952,0.00156586297652854,0.00156586297652854,0.138929791194295,1.12708941909994,98.8729105809001,1.1399375344349
"893",163486,"111",163486,79,60797146,94532,514,0.000845434422201332,0.000845434422201332,0.0157051132416968,5.38317940909028,94.6168205909097,5.68945286416385
