"ES","MLRARSYM","Series","coiid","muname"
NA,"111B","Abscota",280526,"Abscota fine sandy loam, occasionally flooded"
"R111BY001IN","111B","Adrian",271356,"Adrian muck, 0 to 3 percent slopes"
NA,"111B","Aeric Epiaquents",2082738,"Aeric Epiaquents-Urban land complex, till substratum, 0 to 3 percent slopes"
NA,"111B","Aeric Epiaquents",1974593,"Urban land-Aeric Epiaquents-Blount complex, 0 to 3 percent slopes"
NA,"111B","Alfic Udarents",1974591,"Urban land-Alfic Udarents-Glynwood complex, 1 to 8 percent slopes"
NA,"111B","Alfic Udarents",2082732,"Alfic Udarents-Urban land complex, till substratum, 1 to 8 percent slopes"
"F111BY203IN","111B","Algiers",247115,"Algiers silt loam"
"F111BY203IN","111B","Algiers",248099,"Algiers silt loam"
"F111BY203IN","111B","Algiers",245125,"Algiers silt loam"
"F111BY203IN","111B","Algiers",249904,"Algiers silt loam"
NA,"111B","Allison variant",239025,"Allison variant silty clay, frequently flooded"
"F111BY501IN","111B","Alvada",923589,"Alvada loam, 0 to 1 percent slopes"
"F111BY501IN","111B","Alvada",889676,"Alvada silty clay loam, 0 to 1 percent slopes"
"F111BY501IN","111B","Alvada",889672,"Alvada loam, 0 to 1 percent slopes"
"F111BY403IN","111B","Aptakisic",239302,"Aptakisic silt loam, 0 to 2 percent slopes"
NA,"111B","Aquents",1974583,"Urban land-Aquents, clayey, complex, 0 to 3 percent slopes"
NA,"111B","Aquents",923604,"Aquents, clayey, 0 to 1 percent slopes"
NA,"111B","Aquents",2134632,"Aquents, clayey-Urban land complex, 0 to 3 percent slopes"
NA,"111B","Arkport",889678,"Arkport loamy fine sand, 2 to 6 percent slopes"
"F111BY202IN","111B","Armiesburg",239188,"Armiesburg silty clay loam, frequently flooded"
"F111BY202IN","111B","Armiesburg",242329,"Armiesburg silty clay loam, frequently flooded"
"F111BY502IN","111B","Aubbeenaubbee",238556,"Aubbeenaubbee sandy loam, 0 to 2 percent slopes"
"F111BY501IN","111B","Barry",271357,"Barry sandy loam, overwashed, 0 to 3 percent slopes"
