"LRU","Site","Rows"
"139A","A1 Wet Acid Depression",279
"139B","A1 Wet Acid Depression",203
"139A","A2 Acid Depression",508
"139B","A2 Acid Depression",388
"139A","A3 Moist Acid Plains",898
"139B","A3 Moist Acid Plains",535
"139A","A4 Acid Plains",311
"139B","A4 Acid Plains",384
"139A","A5 Acid Slopes",227
"139B","A5 Acid Slopes",109
"139A","Bedrock",93
"139B","Bedrock",12
"139A","BH4 Shale Residuum",13
"139B","BH4 Shale Residuum",12
"139A","BH5 Shale Slopes",120
"139B","BH5 Shale Slopes",36
"99A","BH5 Shale Slopes",4
"139A","BH6 Shallow Shale",66
"139B","BH6 Shallow Shale",44
"98B","BH6 Shallow Shale",1
"99A","BH6 Shallow Shale",1
"94C","BL4 Limestone Residuum",1
"98B","BL4 Limestone Residuum",2
"99A","BL4 Limestone Residuum",3
"139A","BL5 Limestone Slopes",1
"94AA","BL5 Limestone Slopes",2
"94AB","BL5 Limestone Slopes",2
"94C","BL5 Limestone Slopes",2
"98B","BL5 Limestone Slopes",4
"99A","BL5 Limestone Slopes",1
"139A","BL6 Shallow Limestone",1
"94AA","BL6 Shallow Limestone",2
"94AB","BL6 Shallow Limestone",27
"94C","BL6 Shallow Limestone",35
"98B","BL6 Shallow Limestone",24
"99A","BL6 Shallow Limestone",54
"139A","BS4 Sandstone Residuum",47
"139B","BS4 Sandstone Residuum",41
"139A","BS5 Sandstone Slopes",220
"139B","BS5 Sandstone Slopes",51
"139A","BS6 Shallow Sandstone",178
"139B","BS6 Shallow Sandstone",59
"99A","BS6 Shallow Sandstone",3
"99B","BS6 Shallow Sandstone",2
"139A","C1 Wet Loamy Depression",695
"139B","C1 Wet Loamy Depression",243
"94AA","C1 Wet Loamy Depression",393
"94AB","C1 Wet Loamy Depression",727
"94C","C1 Wet Loamy Depression",183
"96A","C1 Wet Loamy Depression",128
"96B","C1 Wet Loamy Depression",224
"97A","C1 Wet Loamy Depression",504
"97B","C1 Wet Loamy Depression",195
"98A2","C1 Wet Loamy Depression",486
"98B","C1 Wet Loamy Depression",783
"99A","C1 Wet Loamy Depression",1351
"99B","C1 Wet Loamy Depression",1165
"139A","C2 Loamy Depression",650
"139B","C2 Loamy Depression",214
"94AA","C2 Loamy Depression",287
"94AB","C2 Loamy Depression",503
"94C","C2 Loamy Depression",139
"96A","C2 Loamy Depression",69
"96B","C2 Loamy Depression",187
"97A","C2 Loamy Depression",509
"97B","C2 Loamy Depression",67
"98A2","C2 Loamy Depression",425
"98B","C2 Loamy Depression",304
"99A","C2 Loamy Depression",1661
"99B","C2 Loamy Depression",1001
"139A","C3 Moist Loamy Plains",472
"139B","C3 Moist Loamy Plains",108
"94AA","C3 Moist Loamy Plains",136
"94AB","C3 Moist Loamy Plains",217
"94C","C3 Moist Loamy Plains",72
"96A","C3 Moist Loamy Plains",44
"96B","C3 Moist Loamy Plains",55
"97A","C3 Moist Loamy Plains",168
"97B","C3 Moist Loamy Plains",106
"98A2","C3 Moist Loamy Plains",108
"98B","C3 Moist Loamy Plains",282
"99A","C3 Moist Loamy Plains",710
"99B","C3 Moist Loamy Plains",152
"139A","C4 Loamy Plains",300
"139B","C4 Loamy Plains",22
"94AA","C4 Loamy Plains",444
"94AB","C4 Loamy Plains",299
"94C","C4 Loamy Plains",182
"96A","C4 Loamy Plains",140
"96B","C4 Loamy Plains",311
"97A","C4 Loamy Plains",434
"97B","C4 Loamy Plains",91
"98A2","C4 Loamy Plains",335
"98B","C4 Loamy Plains",321
"99A","C4 Loamy Plains",428
"99B","C4 Loamy Plains",397
"139A","C5 Loamy Slopes",238
"139B","C5 Loamy Slopes",19
"94AA","C5 Loamy Slopes",245
"94AB","C5 Loamy Slopes",174
"94C","C5 Loamy Slopes",93
"96A","C5 Loamy Slopes",163
"96B","C5 Loamy Slopes",150
"97A","C5 Loamy Slopes",168
"97B","C5 Loamy Slopes",3
"98A2","C5 Loamy Slopes",124
"98B","C5 Loamy Slopes",40
"99A","C5 Loamy Slopes",87
"99B","C5 Loamy Slopes",78
"139A","CP2 Moist Loamy Prairie",4
"94AA","CP2 Moist Loamy Prairie",1
"94AB","CP2 Moist Loamy Prairie",21
"94C","CP2 Moist Loamy Prairie",28
"97B","CP2 Moist Loamy Prairie",15
"98B","CP2 Moist Loamy Prairie",111
"99A","CP2 Moist Loamy Prairie",34
